t,N,P,u,a
0,95.0,0.0,0.0,0.0
1,99.875,0.0,0.0,0.0
2,107.75,0.0774999999999999,0.0,0.0
3,112.625,0.12624999999999997,0.0,0.0
4,104.5,0.04499999999999993,0.0,0.0
5,102.375,0.023749999999999938,0.0,0.0
6,105.25,0.05249999999999999,0.0,0.0
7,104.125,0.04125000000000001,0.0,0.0
8,105.0,0.050000000000000044,0.0,0.0
9,111.875,0.11874999999999991,0.0,0.0
10,116.75,0.16749999999999998,0.0,0.0
11,121.625,0.21625000000000005,0.0,0.0
12,120.5,0.20500000000000007,0.0,0.0
13,113.375,0.13375000000000004,0.0,0.0
14,110.25,0.10250000000000004,0.0,0.0
15,110.125,0.10125000000000006,0.0,0.0
16,102.0,0.020000000000000018,0.0,0.0
17,96.875,0.0,0.0,0.0
18,95.75,0.0,0.0,0.0
19,99.625,0.0,0.0,0.0
20,97.5,0.0,0.0,0.0
21,100.375,0.00374999999999992,0.0,0.0
22,94.25,0.0,0.0,0.0
23,100.125,0.0012499999999999734,0.0,0.0
24,104.0,0.040000000000000036,0.0,0.0
25,102.875,0.028750000000000053,0.0,0.0
26,94.75,0.0,0.0,0.0
27,97.625,0.0,0.0,0.0
28,98.5,0.0,0.0,0.0
29,100.375,0.00374999999999992,0.0,0.0
30,101.25,0.012499999999999956,0.0,0.0
31,96.125,0.0,0.0,0.0
32,103.0,0.030000000000000027,0.0,0.0
33,90.875,0.0,0.0,0.0
34,86.75,0.0,0.0,0.0
35,87.625,0.0,0.0,0.0
36,90.5,0.0,0.0,0.0
37,96.375,0.0,0.0,0.0
38,100.25,0.0024999999999999467,0.0,0.0
39,93.125,0.0,0.0,0.0
40,86.0,0.0,0.0,0.0
41,84.875,0.0,0.0,0.0
42,80.75,0.0,0.0,0.0
43,78.625,0.0,0.0,0.0
44,88.5,0.0,0.0,0.0
45,93.375,0.0,0.0,0.0
46,92.25,0.0,0.0,0.0
47,83.125,0.0,0.0,0.0
48,82.0,0.0,0.0,0.0
49,77.875,0.0,0.0,0.0
50,71.75,0.0,0.0,0.0
51,76.625,0.0,0.0,0.0
52,75.5,0.0,0.0,0.0
53,77.375,0.0,0.0,0.0
54,67.25,0.0,0.0,0.0
55,64.125,0.0,0.0,0.0
56,55.0,0.0,0.0,0.0
57,55.875,0.0,0.0,0.0
58,57.75,0.0,0.0,0.0
59,72.625,0.0,0.0,0.0
60,78.5,0.0,0.0,0.0
61,78.375,0.0,0.0,0.0
62,90.25,0.0,0.0,0.0
63,90.125,0.0,0.0,0.0
64,87.0,0.0,0.0,0.0
65,85.875,0.0,0.0,0.0
66,77.75,0.0,0.0,0.0
67,68.625,0.0,0.0,0.0
68,64.5,0.0,0.0,0.0
69,68.375,0.0,0.0,0.0
70,63.25,0.0,0.0,0.0
71,64.125,0.0,0.0,0.0
72,61.0,0.0,0.0,0.0
73,56.875,0.0,0.0,0.0
74,49.75,0.0,0.0,0.0
75,58.625,0.0,0.0,0.0
76,58.5,0.0,0.0,0.0
77,63.375,0.0,0.0,0.0
78,61.25,0.0,0.0,0.0
79,66.125,0.0,0.0,0.0
80,78.0,0.0,0.0,0.0
81,69.875,0.0,0.0,0.0
82,62.75,0.0,0.0,0.0
83,64.625,0.0,0.0,0.0
84,58.5,0.0,0.0,0.0
85,58.375,0.0,0.0,0.0
86,50.25,0.0,0.0,0.0
87,42.125,0.0,0.0,0.0
88,46.0,0.0,0.0,0.0
89,39.875,0.0,0.0,0.0
90,43.75,0.0,0.0,0.0
91,35.625,0.0,0.0,0.0
92,47.0,0.0,0.0,0.0
93,42.875,0.0,0.0,0.0
94,44.75,0.0,0.0,0.0
95,36.625,0.0,0.0,0.0
96,47.5,0.0,0.0,0.0
97,46.375,0.0,0.0,0.0
98,41.25,0.0,0.0,0.0
99,43.125,0.0,0.0,0.0
100,45.0,0.0,0.0,0.0
101,42.875,0.0,0.0,0.0
102,45.75,0.0,0.0,0.0
103,44.625,0.0,0.0,0.0
