year,game,strategy,n,share
2025,BARG,A,40,0.2
2025,BARG,E,160,0.8
2025,COMP,L,50,0.25
2025,COMP,T,150,0.75
2025,DEF,R,43,0.215
2025,DEF,S,157,0.785
2025,DISC,C,60,0.3
2025,DISC,Q,140,0.7
2025,GOV,I,57,0.285
2025,GOV,S,143,0.715
2025,SHIFT,H,137,0.685
2025,SHIFT,I,63,0.315
2025,SIGNAL,C,39,0.195
2025,SIGNAL,H,161,0.805
2026,BARG,A,57,0.285
2026,BARG,E,143,0.715
2026,COMP,L,37,0.185
2026,COMP,T,163,0.815
2026,DEF,R,60,0.3
2026,DEF,S,140,0.7
2026,DISC,C,66,0.33
2026,DISC,Q,134,0.67
2026,GOV,I,57,0.285
2026,GOV,S,143,0.715
2026,SHIFT,H,129,0.645
2026,SHIFT,I,71,0.355
2026,SIGNAL,C,28,0.14
2026,SIGNAL,H,172,0.86
2027,BARG,A,57,0.285
2027,BARG,E,143,0.715
2027,COMP,L,39,0.195
2027,COMP,T,161,0.805
2027,DEF,R,61,0.305
2027,DEF,S,139,0.695
2027,DISC,C,79,0.395
2027,DISC,Q,121,0.605
2027,GOV,I,72,0.36
2027,GOV,S,128,0.64
2027,SHIFT,H,131,0.655
2027,SHIFT,I,69,0.345
2027,SIGNAL,C,34,0.17
2027,SIGNAL,H,166,0.83
2028,BARG,A,57,0.285
2028,BARG,E,143,0.715
2028,COMP,L,42,0.21
2028,COMP,T,158,0.79
2028,DEF,R,68,0.34
2028,DEF,S,132,0.66
2028,DISC,C,75,0.375
2028,DISC,Q,125,0.625
2028,GOV,I,64,0.32
2028,GOV,S,136,0.68
2028,SHIFT,H,128,0.64
2028,SHIFT,I,72,0.36
2028,SIGNAL,C,31,0.155
2028,SIGNAL,H,169,0.845
2029,BARG,A,47,0.235
2029,BARG,E,153,0.765
2029,COMP,L,39,0.195
2029,COMP,T,161,0.805
2029,DEF,R,63,0.315
2029,DEF,S,137,0.685
2029,DISC,C,80,0.4
2029,DISC,Q,120,0.6
2029,GOV,I,53,0.265
2029,GOV,S,147,0.735
2029,SHIFT,H,141,0.705
2029,SHIFT,I,59,0.295
2029,SIGNAL,C,33,0.165
2029,SIGNAL,H,167,0.835
