year,game,strategy,n,share
2025,BARG,A,30,0.21428571428571427
2025,BARG,E,110,0.7857142857142857
2025,COMP,L,34,0.24285714285714285
2025,COMP,T,106,0.7571428571428571
2025,DEF,R,35,0.25
2025,DEF,S,105,0.75
2025,DISC,C,44,0.3142857142857143
2025,DISC,Q,96,0.6857142857142857
2025,GOV,I,38,0.2714285714285714
2025,GOV,S,102,0.7285714285714285
2025,SHIFT,H,97,0.6928571428571428
2025,SHIFT,I,43,0.30714285714285716
2025,SIGNAL,C,22,0.15714285714285714
2025,SIGNAL,H,118,0.8428571428571429
2026,BARG,A,35,0.25
2026,BARG,E,105,0.75
2026,COMP,L,27,0.19285714285714287
2026,COMP,T,113,0.8071428571428572
2026,DEF,R,44,0.3142857142857143
2026,DEF,S,96,0.6857142857142857
2026,DISC,C,40,0.2857142857142857
2026,DISC,Q,100,0.7142857142857143
2026,GOV,I,41,0.29285714285714287
2026,GOV,S,99,0.7071428571428572
2026,SHIFT,H,86,0.6142857142857143
2026,SHIFT,I,54,0.38571428571428573
2026,SIGNAL,C,19,0.1357142857142857
2026,SIGNAL,H,121,0.8642857142857143
2027,BARG,A,40,0.2857142857142857
2027,BARG,E,100,0.7142857142857143
2027,COMP,L,28,0.2
2027,COMP,T,112,0.8
2027,DEF,R,38,0.2714285714285714
2027,DEF,S,102,0.7285714285714285
2027,DISC,C,51,0.36428571428571427
2027,DISC,Q,89,0.6357142857142857
2027,GOV,I,53,0.37857142857142856
2027,GOV,S,87,0.6214285714285714
2027,SHIFT,H,88,0.6285714285714286
2027,SHIFT,I,52,0.37142857142857144
2027,SIGNAL,C,20,0.14285714285714285
2027,SIGNAL,H,120,0.8571428571428571
2028,BARG,A,43,0.30714285714285716
2028,BARG,E,97,0.6928571428571428
2028,COMP,L,31,0.22142857142857142
2028,COMP,T,109,0.7785714285714286
2028,DEF,R,52,0.37142857142857144
2028,DEF,S,88,0.6285714285714286
2028,DISC,C,53,0.37857142857142856
2028,DISC,Q,87,0.6214285714285714
2028,GOV,I,45,0.32142857142857145
2028,GOV,S,95,0.6785714285714286
2028,SHIFT,H,83,0.5928571428571429
2028,SHIFT,I,57,0.40714285714285714
2028,SIGNAL,C,25,0.17857142857142858
2028,SIGNAL,H,115,0.8214285714285714
2029,BARG,A,32,0.22857142857142856
2029,BARG,E,108,0.7714285714285715
2029,COMP,L,29,0.20714285714285716
2029,COMP,T,111,0.7928571428571428
2029,DEF,R,48,0.34285714285714286
2029,DEF,S,92,0.6571428571428571
2029,DISC,C,59,0.42142857142857143
2029,DISC,Q,81,0.5785714285714286
2029,GOV,I,34,0.24285714285714285
2029,GOV,S,106,0.7571428571428571
2029,SHIFT,H,95,0.6785714285714286
2029,SHIFT,I,45,0.32142857142857145
2029,SIGNAL,C,26,0.18571428571428572
2029,SIGNAL,H,114,0.8142857142857143
