year,game,eq_index,kind,row_action,col_action,row_payoff,col_payoff,n_equilibria_in_game
2026,DEF,1,pure,R,R,1.3016794103442675,1.5066794103442676,1
2026,BARG,1,pure,A,A,1.4483804309823531,1.4633804309823533,1
2026,SHIFT,1,pure,I,I,1.2136210990113494,1.2136210990113494,1
2026,DISC,1,pure,C,C,0.7989152242317642,0.7989152242317642,1
2026,GOV,1,pure,I,I,1.2847326033752944,1.4897326033752942,1
2026,COMP,1,pure,L,L,1.09736188067594,1.025,1
2027,DEF,1,pure,R,R,1.2701861844580806,1.4751861844580807,1
2027,BARG,1,pure,A,A,1.4335652588372831,1.4485652588372833,1
2027,SHIFT,1,pure,I,I,1.2565218312189486,1.2565218312189486,1
2027,DISC,1,pure,C,C,0.8255825340928902,0.8255825340928902,1
2027,GOV,1,pure,I,I,1.2639913623721966,1.4689913623721964,1
2027,COMP,1,pure,L,L,1.0905465490286241,1.025,1
2028,DEF,1,pure,R,R,1.249901848127731,1.4549018481277312,1
2028,BARG,1,pure,A,A,1.425414876082246,1.4404148760822462,1
2028,SHIFT,1,pure,I,I,1.281787421088333,1.281787421088333,1
2028,DISC,1,pure,C,C,0.8402532230519569,0.8402532230519569,1
2028,GOV,1,pure,I,I,1.2525808265151446,1.4575808265151444,1
2028,COMP,1,pure,L,L,1.0842082905966204,1.025,1
2029,DEF,1,pure,R,R,1.2348246708841892,1.4398246708841893,1
2029,BARG,1,pure,A,A,1.4202020548348633,1.4352020548348634,1
2029,SHIFT,1,pure,I,I,1.299130129408376,1.299130129408376,1
2029,DISC,1,pure,C,C,0.8496363012972458,0.8496363012972458,1
2029,GOV,1,pure,I,I,1.2452828767688089,1.4502828767688087,1
2029,COMP,1,pure,L,L,1.0783137102548568,1.025,1
2030,DEF,1,pure,R,R,1.2207367863994585,1.4257367863994586,1
2030,BARG,1,pure,A,A,1.4153128125446492,1.4303128125446494,1
2030,SHIFT,1,pure,I,I,1.3153662763244007,1.3153662763244007,1
2030,DISC,1,pure,C,C,0.8584369374196309,0.8584369374196309,1
2030,GOV,1,pure,I,I,1.2384379375625094,1.4434379375625093,1
2030,COMP,1,pure,L,L,1.0728317505370168,1.025,1
