year,game,action,freq
2025,DEF,R,1.0
2026,DEF,R,1.0
2027,DEF,R,1.0
2028,DEF,R,1.0
2029,DEF,R,1.0
2030,DEF,R,1.0
2025,BARG,A,1.0
2026,BARG,A,1.0
2027,BARG,A,1.0
2028,BARG,A,1.0
2029,BARG,A,1.0
2030,BARG,A,1.0
2025,SHIFT,I,1.0
2026,SHIFT,I,1.0
2027,SHIFT,I,1.0
2028,SHIFT,I,1.0
2029,SHIFT,I,1.0
2030,SHIFT,I,1.0
2025,DISC,C,1.0
2026,DISC,C,1.0
2027,DISC,C,1.0
2028,DISC,C,1.0
2029,DISC,C,1.0
2030,DISC,C,1.0
2025,GOV,I,1.0
2026,GOV,I,1.0
2027,GOV,I,1.0
2028,GOV,I,1.0
2029,GOV,I,1.0
2030,GOV,I,1.0
2025,COMP,L,1.0
2026,COMP,L,1.0
2027,COMP,L,1.0
2028,COMP,L,1.0
2029,COMP,L,1.0
2030,COMP,L,1.0
