t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.053300000000000014,0.3168,0.0,0.5,0.0,0.59538
2,0.07185720000000001,0.23256800000000002,0.0,0.0,3.75,0.5693999200000001
3,0.008715984000000024,0.227951488,0.0,0.5,0.0,0.6577976224000001
4,0.03182682451200002,0.14901205631999997,0.0,0.5,0.0,0.6254424456832
5,0.015202298150400015,0.08982832406527998,0.0,0.5,0.0,0.64871678258944
6,0.06978071456658433,0.03730777728962559,0.0,0.0,3.75,0.572306999606782
7,0.0032202622957654276,0.06733974887347323,0.0,0.5,0.0,0.6654916327859285
8,0.059048880802954264,0.01599145702723175,0.0,0.0,0.0,0.5873315668758641
9,0.03608587517405806,0.04728472615503906,0.0,0.0,0.0,0.6194797747563188
10,0.05193226244663568,0.06743408548890596,0.0,0.5,0.0,0.59729483257471
11,0.0659429933283959,0.027759693088095446,0.0,0.0,0.0,0.5776798093402458
12,0.11223840843109428,0.058589266731053274,0.0,0.0,3.75,0.512866228196468
13,0.005138227318631103,0.09498041674292632,0.0,0.5,0.0,0.6628064817539165
14,0.06122350341213835,0.03911711628567105,0.0,0.0,0.0,0.5842870952230064
15,0.07339543814386673,0.06676967617316346,0.0,0.0,3.75,0.5672463865985866
16,0.0,0.09236603961652205,0.0,0.5,0.0,0.67
17,0.02175495475271392,0.035740152485548085,0.0,0.0,0.0,0.6395430633462006
18,0.004388323984559378,0.05452811417880077,0.0,0.0,0.0,0.663856346421617
19,0.05980999279611829,0.06576625138291088,0.0,0.5,0.0,0.5862660100854344
20,0.07268615258093704,0.028282724405055314,0.0,0.0,3.75,0.5682393863866881
21,0.005547462983301915,0.060636510631570245,0.0,0.0,0.0,0.6622335518233774
22,0.025922911867639484,0.07105332983388006,0.0,0.5,0.0,0.6337079233853048
23,0.07864371747301369,0.02448522931201513,0.0,0.0,3.75,0.5598987955377809
24,0.010598816383720067,0.0589523802293757,0.0,0.0,0.0,0.655161657062792
25,0.0652350773143574,0.07088466772018089,0.0,0.5,0.0,0.5786708917598997
26,0.04244897517703081,0.033781846085994105,0.0,0.0,0.0,0.6105714347521569
27,0.05714797372788038,0.05788886783300255,0.0,0.0,0.0,0.5899928367809675
28,0.03524714589480417,0.08118438531775338,0.0,0.5,0.0,0.6206539957472742
29,0.0168550487905689,0.03503051097531078,0.0,0.0,0.0,0.6464029316932036
30,0.03516092166842016,0.05277023070949137,0.0,0.0,0.0,0.6207747096642118
31,0.05124102701832167,0.07171021038220377,0.0,0.5,0.0,0.5982625621743497
32,0.1004297772330185,0.031100218997804293,0.0,0.0,3.75,0.5293983118737742
33,0.0,0.06960532611412396,0.0,0.5,0.0,0.67
34,0.021322501196168357,0.01707636741358164,0.0,0.0,0.0,0.6401484983253644
35,0.03866180200956284,0.039120021566217356,0.0,0.0,0.0,0.6158734771866121
36,0.018992430137982172,0.06135725016659331,0.0,0.0,0.0,0.643410597806825
37,0.00249927767182994,0.07487112836972223,0.0,0.5,0.0,0.6665010112594382
38,0.023571930236798468,0.021994151904411414,0.0,0.0,0.0,0.6369992976684822
39,0.005689748889830495,0.04369246781844899,0.0,0.0,0.0,0.6620343515542374
40,0.025723340933804757,0.057193363344687484,0.0,0.0,0.0,0.6339873226926733
41,0.04320874710662115,0.07307215976675688,0.0,0.5,0.0,0.6095077540507304
42,0.09354789354726256,0.03028927031432972,0.0,0.0,3.75,0.5390329490338325
43,0.0,0.06728869610909338,0.0,0.5,0.0,0.67
44,0.02127848522607278,0.015176730809456574,0.0,0.0,0.0,0.6402101206834981
45,0.07358785517980226,0.03755175571801186,0.0,0.0,3.75,0.5669770027482769
46,0.006499038813272198,0.06845352493192226,0.0,0.5,0.0,0.660901345661419
47,0.026889790353120613,0.017691659759361582,0.0,0.0,0.0,0.6323542935056312
48,0.043461361239111596,0.04096071068742545,0.0,0.0,0.0,0.6091540942652438
49,0.058155024168697056,0.06401850946107565,0.0,0.5,0.0,0.5885829661638241
50,0.03622967246483991,0.026452383558569322,0.0,0.0,0.0,0.6192784585492241
51,0.01666011360737514,0.05038607590958842,0.0,0.0,0.0,0.6466758409496749
52,0.0002850331446247953,0.06531500951163254,0.0,0.5,0.0,0.6696009535975254
53,0.056486113685098344,0.01362671575424863,0.0,0.0,0.0,0.5909194408408623
54,0.0688369653685153,0.04473057420290748,0.0,0.0,0.0,0.5736282484840786
55,0.0800496711267784,0.07319994253482781,0.0,0.0,3.75,0.5579304604225103
56,0.012733516077191157,0.09923587394898561,0.0,0.5,0.0,0.6521730774919324
57,0.03283630543141512,0.04442946049669409,0.0,0.0,0.0,0.6240291723960188
58,0.049083382420454194,0.06431287091082878,0.0,0.5,0.0,0.6012832646113642
59,0.028433653428896352,0.02451656592778861,0.0,0.0,0.0,0.6301928851995452
60,0.009918756701478841,0.046927660883721786,0.0,0.0,0.0,0.6561137406179297
61,0.029421756320062522,0.06086118353300679,0.0,0.0,0.0,0.6288095411519125
62,0.0464590729223809,0.07696739201388057,0.0,0.5,0.0,0.6049572979086668
63,0.061417183161511305,0.03426343895275348,0.0,0.0,0.0,0.5840159435738842
64,0.10846978285900204,0.06283614390002057,0.0,0.0,3.75,0.5181423039973971
65,0.001977899992842147,0.09755838588417735,0.0,0.5,0.0,0.667230940010021
66,0.02355460332564362,0.040472572423307554,0.0,0.0,0.0,0.6370235553440989
67,0.04102593773609636,0.05884061418526666,0.0,0.0,0.0,0.6125636871694651
68,0.056400278122562944,0.07809552868858179,0.0,0.5,0.0,0.5910396106284119
69,0.03498805423048719,0.037574400274052164,0.0,0.0,0.0,0.621016724077318
70,0.05080364024342597,0.0592081412400397,0.0,0.0,0.0,0.5988749036592037
71,0.02981608529290708,0.08074354947525479,0.0,0.5,0.0,0.6282574805899301
72,0.04717596079192993,0.033365571040006634,0.0,0.0,0.0,0.6039536548912982
73,0.09620527213081986,0.05868199884286862,0.0,0.0,3.75,0.5353126190168522
74,0.0,0.09120850436254903,0.0,0.5,0.0,0.67
75,0.0,0.034790973577290205,0.0,0.0,0.0,0.67
76,0.020661028497968515,0.04852859833337797,0.0,0.0,0.0,0.6410745601028441
77,0.03869052787658711,0.06475209747288238,0.0,0.5,0.0,0.6158332609727781
78,0.05450414382584968,0.022382446618144456,0.0,0.0,0.0,0.5936941986438105
79,0.06729883017597546,0.05143460074508238,0.0,0.0,0.0,0.5757816377536344
80,0.11385425136549547,0.07832809185320166,0.0,0.0,3.75,0.5106040480883064
81,0.006902889919536942,0.11155405564734427,0.0,0.5,0.0,0.6603359541126483
82,0.028056012388101313,0.053131019211511185,0.0,0.0,0.0,0.6307215826566582
83,0.08013766001878585,0.07030087872658349,0.0,0.0,3.75,0.5578072759736998
84,0.0,0.09687975896030705,0.0,0.5,0.0,0.67
85,0.0,0.03944140234745179,0.0,0.0,0.0,0.67
86,0.0,0.052341949924910466,0.0,0.0,0.0,0.67
87,0.0209944970485733,0.06292039893842657,0.0,0.5,0.0,0.6406077041319974
