t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.05140000000000003,0.3018,0.0,0.5,0.0,0.59804
2,0.06850465000000003,0.20481199999999997,0.0,0.5,0.0,0.57409349
3,0.11683257000000002,0.12938695599999997,0.0,0.0,3.75,0.506434402
4,0.009819774323000033,0.15413712071999996,0.0,0.5,0.0,0.6562523159478
5,0.0,0.07374918482791998,0.0,0.5,0.0,0.67
6,0.05605092588379786,0.005474331558894385,0.0,0.0,0.0,0.5915287037626831
7,0.10328180548478041,0.037941174090404886,0.0,0.0,3.75,0.5254054723213074
8,0.03186301444769943,0.07589939607047931,0.0,0.5,0.0,0.6253917797732208
9,0.013483758819025832,0.01488462824524089,0.0,0.0,0.0,0.6511227376533639
10,0.0318081385368569,0.03544149727766373,0.0,0.0,0.0,0.6254686060484004
11,0.04786004047790364,0.05669598101652991,0.0,0.0,0.0,0.602995943330935
12,0.09696755254048268,0.0779771141482514,0.0,0.0,3.75,0.5342454264433243
13,0.0,0.107213446211282,0.0,0.5,0.0,0.67
14,0.05652779160851077,0.03291502589325124,0.0,0.0,0.0,0.590861091748085
15,0.0690829399022981,0.060556991218508605,0.0,0.0,0.0,0.5732838841367827
16,0.04527426544084011,0.0862366383757286,0.0,0.5,0.0,0.6066160283828239
17,0.06016474037597663,0.02657986717389908,0.0,0.0,0.0,0.5857693634736327
18,0.03712043983056797,0.05623502877283164,0.0,0.0,0.0,0.6180313842372049
19,0.08772492741430131,0.07502162915305825,0.0,0.0,3.75,0.5471851016199782
20,0.0,0.10257171848494008,0.0,0.5,0.0,0.67
21,0.0564616469884104,0.02910880915765086,0.0,0.0,0.0,0.5909536942162255
22,0.06897181694052947,0.05742001878649221,0.0,0.0,0.0,0.5734394562832588
23,0.11513399783656286,0.08363765147065068,0.0,0.0,3.75,0.508812403028812
24,0.042707074672900844,0.11621503368670864,0.0,0.5,0.0,0.6102100954579388
25,0.09338414844873033,0.05054602554459729,0.0,0.0,3.75,0.5392621921717775
26,0.0,0.08385993657426506,0.0,0.5,0.0,0.67
27,0.021195004096183277,0.013765147990897352,0.0,0.0,0.0,0.6403269942653435
28,0.003423856881587903,0.036374222335619814,0.0,0.0,0.0,0.665206600365777
29,0.0,0.050648587966789345,0.0,0.0,0.0,0.67
30,0.02072174237852675,0.06153184213276726,0.0,0.0,0.0,0.6409895606700626
31,0.03869752719592494,0.07542932871971557,0.0,0.5,0.0,0.6158234619257051
32,0.0893547413227514,0.01613945607718875,0.0,0.0,3.75,0.544903362148148
33,0.0,0.054679491900755106,0.0,0.0,0.0,0.67
34,0.02077918275958576,0.06483718335861918,0.0,0.5,0.0,0.64090914413658
35,0.03879402703610407,0.0031534942163683084,0.0,0.0,0.0,0.6156883621494543
36,0.018407800543632745,0.03189643174608699,0.0,0.0,0.0,0.6442290792389141
37,0.0012852326199059017,0.05057294616226318,0.0,0.0,0.0,0.6682006743321318
38,0.021825964535931327,0.061778271681833224,0.0,0.0,0.0,0.6394436496496961
39,0.004650669872367064,0.07589641426772677,0.0,0.5,0.0,0.6634890621786862
40,0.025081099993550782,0.008351220468904044,0.0,0.0,0.0,0.6348864600090289
41,0.04168875088613556,0.03286746478295351,0.0,0.0,0.0,0.6116357487594103
42,0.09132068713523367,0.05695662133469441,0.0,0.0,3.75,0.5421510380106729
43,0.0,0.08862139440690549,0.0,0.5,0.0,0.67
44,0.021262854870298404,0.0176695434136625,0.0,0.0,0.0,0.6402320031815822
45,0.07353784618210132,0.03959211076807487,0.0,0.0,3.75,0.5670470153450582
46,0.006306735295052213,0.0701146139135257,0.0,0.5,0.0,0.661170570586927
47,0.026422925602012644,0.004007599879903605,0.0,0.0,0.0,0.6330079041571823
48,0.0427808243160195,0.02962773404600399,0.0,0.0,0.0,0.6101068459575727
49,0.05721370412193233,0.054562139753567954,0.0,0.0,0.0,0.5899008142292947
50,0.03498129603635014,0.07847224358718949,0.0,0.5,0.0,0.6210261855491098
51,0.01620214406237857,0.017742750790219416,0.0,0.0,0.0,0.6473169983126701
52,0.0,0.03843757022295077,0.0,0.0,0.0,0.67
53,0.05554773537567705,0.051518807582819626,0.0,0.0,0.0,0.5922331704740522
54,0.06850519543113745,0.07557687870807459,0.0,0.5,0.0,0.5740927263964076
55,0.07999143859236826,0.023414287444094153,0.0,0.0,3.75,0.5580119859706845
56,0.011626290785515053,0.05839766096632559,0.0,0.0,0.0,0.6537231929002789
57,0.030830776744313084,0.07067639178091059,0.0,0.5,0.0,0.6268369125579617
58,0.04752160658298723,0.010354027678981827,0.0,0.0,0.0,0.6034697507838179
59,0.026016126555794508,0.03989548827668203,0.0,0.0,0.0,0.6335774228218878
60,0.007942379545925991,0.05895817076026995,0.0,0.0,0.0,0.6588806686357036
61,0.0276706003428302,0.07025187111444359,0.0,0.5,0.0,0.6312611595200378
62,0.04479780545821479,0.009247478396122982,0.0,0.0,0.0,0.6072830723584993
63,0.058657889261209475,0.0383344055947924,0.0,0.0,0.0,0.5878789550343068
64,0.10599205004436595,0.06551210601042004,0.0,0.0,3.75,0.5216111299378877
65,0.0,0.09915801893919225,0.0,0.5,0.0,0.67
66,0.02141300176988349,0.02630957553013764,0.0,0.0,0.0,0.6400217975221631
67,0.038790092973404265,0.046712972359484906,0.0,0.0,0.0,0.6156938698372341
68,0.05402513981325033,0.06761425964839464,0.0,0.5,0.0,0.5943648042614496
69,0.032425123439384904,0.01340972646686368,0.0,0.0,0.0,0.6246048271848612
70,0.048076694760023825,0.038778005328280594,0.0,0.0,0.0,0.6026926273359667
71,0.02689854406954849,0.0633363711115958,0.0,0.5,0.0,0.6323420383026321
72,0.04403529118815194,0.003391474888200196,0.0,0.0,0.0,0.6083505923365873
73,0.09291867893896752,0.03334947929348063,0.0,0.0,3.75,0.5399138494854455
74,0.0,0.06964705596600632,0.0,0.5,0.0,0.67
75,0.0,0.002110585892125181,0.0,0.0,0.0,0.67
76,0.020030075848962783,0.021730680431542648,0.0,0.0,0.0,0.6419578938114522
77,0.03753552742625748,0.04262637615761604,0.0,0.0,0.0,0.6174502616032396
78,0.052887979446827466,0.06396215503154694,0.0,0.5,0.0,0.5959568287744416
79,0.06639512303347117,0.010142082193107079,0.0,0.0,0.0,0.5770468277531404
80,0.11224433048003699,0.04425133692638089,0.0,0.0,3.75,0.5128579373279483
81,0.004660705764032741,0.08322473559484121,0.0,0.5,0.0,0.6634750119303542
82,0.025194159439294643,0.014362852571137643,0.0,0.0,0.0,0.6347281767849875
83,0.07687164776693212,0.03782413737376358,0.0,0.0,3.75,0.5623796931262951
84,0.0,0.06946498811054984,0.0,0.5,0.0,0.67
85,0.0,0.001961290250650869,0.0,0.0,0.0,0.67
86,0.0,0.021608258005533714,0.0,0.0,0.0,0.67
87,0.020307917676578854,0.037718771564537644,0.0,0.0,0.0,0.6415689152527897
88,0.038002301696652474,0.055803292925299786,0.0,0.0,0.0,0.6167967776246865
89,0.018477176383306648,0.07487925260594241,0.0,0.5,0.0,0.6441319530633707
90,0.0369574010392784,0.01083550946886638,0.0,0.0,0.0,0.6182596385450103
91,0.01693777090371077,0.03775489401389724,0.0,0.0,0.0,0.646287120734805
92,0.0351044902168893,0.055024078108286315,0.0,0.0,0.0,0.620853713696355
93,0.05097395469956788,0.07354482170084821,0.0,0.5,0.0,0.598636463420605
94,0.06488561475086546,0.01754050292259182,0.0,0.0,0.0,0.5791601393487884
95,0.07605158085239122,0.049955759936733,0.0,0.0,3.75,0.5635277868066523
96,0.0,0.07921610255269496,0.0,0.5,0.0,0.67
97,0.021128829461375905,0.009957204093209864,0.0,0.0,0.0,0.6404196387540738
98,0.003312683495111511,0.0332358264271623,0.0,0.0,0.0,0.6653622431068439
99,0.0,0.04804842170909985,0.0,0.0,0.0,0.67
100,0.05568469000935468,0.05939970580146188,0.0,0.0,0.0,0.5920414339869035
101,0.10373527921571586,0.08207208435944387,0.0,0.0,3.75,0.5247706090979978
102,0.0,0.11219557618651578,0.0,0.5,0.0,0.67
103,0.02159878696065785,0.03700037247294294,0.0,0.0,0.0,0.639761698255079
104,0.07410221209390519,0.05552401429837109,0.0,0.0,3.75,0.5662569030685327
105,0.0070191196045102655,0.08331422262720155,0.0,0.5,0.0,0.6601732325536857
106,0.02722367053231645,0.015002251259387738,0.0,0.0,0.0,0.631886861254757
107,0.043626138738238424,0.03883552696045389,0.0,0.0,0.0,0.6089234057664662
108,0.058071885574071516,0.06231540540474942,0.0,0.0,0.0,0.5886993601962999
109,0.03582981612071917,0.08503588496967168,0.0,0.5,0.0,0.6198382574309932
