t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.05054,0.31392000000000003,0.0,0.5,0.0,0.599244
2,0.066832432,0.22833103999999996,0.0,0.5,0.0,0.5764345952000001
3,0.11438035230400001,0.16166725811199995,0.0,0.0,3.75,0.5098675067744001
4,0.0066316130951552255,0.17727330774950392,0.0,0.5,0.0,0.6607157416667827
5,0.0,0.10679654078314675,0.0,0.5,0.0,0.67
6,0.05482622084739182,0.047573163442180336,0.0,0.0,0.0,0.5932432908136515
7,0.10096405102361825,0.07085245772562451,0.0,0.0,3.75,0.5286503285669345
8,0.028540660907419885,0.09990725035611364,0.0,0.5,0.0,0.6300430747296122
9,0.009253382361470643,0.04808872804801588,0.0,0.0,0.0,0.6570452646939411
10,0.026780226080485824,0.061431487589450676,0.0,0.0,0.0,0.6325076834873199
11,0.04208147286699741,0.07615834865673449,0.0,0.5,0.0,0.6110859379862037
12,0.09049237442764795,0.031539444037793726,0.0,0.0,3.75,0.5433106758012929
13,0.0,0.06540869698736282,0.0,0.5,0.0,0.67
14,0.05411848871848391,0.013635131529637513,0.0,0.0,0.0,0.5942341157941226
15,0.06477506104705297,0.042870401417495284,0.0,0.0,0.0,0.5793149145341259
16,0.039439636364704725,0.06914514234850958,0.0,0.5,0.0,0.6147845090894134
17,0.053100469207805576,0.02521797818055407,0.0,0.0,0.0,0.5956593431090722
18,0.029097630945600278,0.052148443456940335,0.0,0.0,0.0,0.6292633166761596
19,0.07891570099632993,0.06904681191894073,0.0,0.0,3.75,0.5595180186051382
20,0.0,0.09366417718873866,0.0,0.5,0.0,0.67
21,0.05460165742992744,0.036804625294765705,0.0,0.0,0.0,0.5935576795981016
22,0.06558678448227809,0.0619737507465722,0.0,0.0,0.0,0.5781785017248107
23,0.11046438579252554,0.08498522106036127,0.0,0.0,3.75,0.5153498598904642
24,0.03695261906170415,0.11354818860068176,0.0,0.5,0.0,0.6182663333136142
25,0.08672092641813722,0.061091280369887146,0.0,0.0,3.75,0.5485907030146079
26,0.0,0.0888265700096251,0.0,0.5,0.0,0.67
27,0.019518934347164594,0.03283778740789259,0.0,0.0,0.0,0.6426734919139696
28,0.00034780970323651517,0.05114307549345948,0.0,0.0,0.0,0.6695130664154689
29,0.0,0.06201244880053586,0.0,0.0,0.0,0.67
30,0.019060412874489164,0.0708502080164394,0.0,0.5,0.0,0.6433154219757152
31,0.035603493629141794,0.022214219754369973,0.0,0.0,0.0,0.6201551089192016
32,0.08399886767886168,0.045906014822478004,0.0,0.0,3.75,0.5524015852495937
33,0.0,0.07578668757306609,0.0,0.5,0.0,0.67
34,0.01929595235749943,0.02214508380991419,0.0,0.0,0.0,0.6429856666995009
35,0.03497319996059904,0.04232689443334951,0.0,0.0,0.0,0.6210375200551613
36,0.013800741860925447,0.062262264626836,0.0,0.0,0.0,0.6506789613947044
37,0.0,0.07403601723596541,0.0,0.5,0.0,0.67
38,0.01926601589473501,0.020709534133491633,0.0,0.0,0.0,0.6430275777473711
39,0.0,0.0411432774227259,0.0,0.0,0.0,0.67
40,0.018703550043928617,0.05373748748663523,0.0,0.0,0.0,0.6438150299384999
41,0.035003964073800076,0.06810470654852947,0.0,0.5,0.0,0.6209944502966799
42,0.08426799958544792,0.02340671560973499,0.0,0.0,3.75,0.552024800580373
43,0.0,0.057395394710439446,0.0,0.0,0.0,0.67
44,0.01898146124954852,0.06706422366256035,0.0,0.5,0.0,0.6434259542506321
45,0.07047085489924151,0.019092659033201963,0.0,0.0,3.75,0.571340803141062
46,0.0014314196828154602,0.05087768506546178,0.0,0.0,0.0,0.6679960124440584
47,0.020101029341840694,0.06202888840516679,0.0,0.0,0.0,0.6418585589214231
48,0.03634757922571135,0.07520551083007436,0.0,0.5,0.0,0.6191133890840042
49,0.05054493236930603,0.02951959599341462,0.0,0.0,0.0,0.5992370946829716
50,0.02697342692909057,0.055123774106370094,0.0,0.0,0.0,0.6322372022992733
51,0.0071397636962368186,0.07102775498390704,0.0,0.5,0.0,0.6600043308252685
52,0.0,0.019784948045190928,0.0,0.0,0.0,0.67
53,0.05333832261157277,0.03622365739705656,0.0,0.0,0.0,0.5953263483437982
54,0.06449038198744225,0.061224476749686105,0.0,0.0,0.0,0.5797134652175808
55,0.07450866706161997,0.08413399344403014,0.0,0.0,3.75,0.5656878661137321
56,0.006016144960886122,0.10508374670941463,0.0,0.5,0.0,0.6615773970547595
57,0.024970816735093056,0.0474681596132714,0.0,0.0,0.0,0.6350408565708697
58,0.04028660792156698,0.06431758729766265,0.0,0.5,0.0,0.6135987489098063
59,0.01874631355533763,0.021442328895141843,0.0,0.0,0.0,0.6437551610225274
60,0.0,0.041631913421969244,0.0,0.0,0.0,0.67
61,0.018711905719515674,0.05413816900601477,0.0,0.0,0.0,0.6438033319926781
62,0.035018001608786334,0.06843507022034749,0.0,0.5,0.0,0.6209747977476991
63,0.04928572108432419,0.02368064592818279,0.0,0.0,0.0,0.6009999904819462
64,0.09579065917789073,0.05006384541532391,0.0,0.0,3.75,0.535893077150953
65,0.0,0.08174313562299,0.0,0.5,0.0,0.67
66,0.01939780761915313,0.0270293712108518,0.0,0.0,0.0,0.6428430693331857
67,0.03514431680017725,0.04635401083863555,0.0,0.0,0.0,0.6207979564797519
68,0.04901676603349311,0.06560146131651944,0.0,0.5,0.0,0.6013765275531097
