t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.05882000000000001,0.3168,0.0,0.5,0.0,0.5876520000000001
2,0.08180824,0.23389279999999998,0.0,0.0,3.75,0.555468464
3,0.02218784224000002,0.23142607359999995,0.0,0.5,0.0,0.6389370208640001
4,0.04835805880448002,0.15509446248959993,0.0,0.5,0.0,0.602298717673728
5,0.03412408431661569,0.09878339335454715,0.0,0.5,0.0,0.6222262819567381
6,0.09059897388077318,0.049192162786716426,0.0,0.0,3.75,0.5431614365669176
7,0.025536698849002074,0.08208132721649303,0.0,0.5,0.0,0.6342486216113972
8,0.08283301527067782,0.033435496041284776,0.0,0.0,3.75,0.5540337786210511
9,0.0,0.0672970304188162,0.0,0.5,0.0,0.67
10,0.02553437229354901,0.01518356494342928,0.0,0.0,0.0,0.6342518787890314
11,0.046305745453162336,0.03857877260406377,0.0,0.0,0.0,0.6051719563655727
12,0.09970253710509226,0.06274797244409125,0.0,0.0,3.75,0.5304164480528708
13,0.0,0.09538194630937696,0.0,0.5,0.0,0.67
14,0.0611747083758538,0.03821319597368911,0.0,0.0,0.0,0.5843554082738047
15,0.07748151007143438,0.06601675070862997,0.0,0.0,3.75,0.5615258858999919
16,0.0,0.09272929799822083,0.0,0.5,0.0,0.67
17,0.026114227994359435,0.036038024358541074,0.0,0.0,0.0,0.6334400808078968
18,0.012279903030523849,0.05581859469264995,0.0,0.0,0.0,0.6528081357572666
19,0.07083338056524294,0.06871842437529868,0.0,0.0,3.75,0.5708332672086599
20,0.0,0.09334911932340323,0.0,0.5,0.0,0.67
21,0.0611283599205736,0.036546277845190656,0.0,0.0,0.0,0.5844202961111971
22,0.07740364466656365,0.064638754213994,0.0,0.0,3.75,0.561634897466811
23,0.014540898009323816,0.09158065317545035,0.0,0.5,0.0,0.6496427427869467
24,0.07359321118041875,0.03858595112610701,0.0,0.0,3.75,0.5669695043474138
25,0.010669921300835383,0.06930285060670825,0.0,0.5,0.0,0.6550621101788305
26,0.0,0.019389118609701255,0.0,0.0,0.0,0.67
27,0.02444207190430119,0.03589907725995503,0.0,0.0,0.0,0.6357810993339784
28,0.010838680799225994,0.055303340610195414,0.0,0.0,0.0,0.6548258468810837
29,0.0,0.06795002269217447,0.0,0.5,0.0,0.67
30,0.02554926051738158,0.015719018607583065,0.0,0.0,0.0,0.6342310352756658
31,0.046330757669201056,0.03902141778238969,0.0,0.0,0.0,0.6051369392631185
32,0.0997341399209514,0.0631169444221678,0.0,0.0,3.75,0.5303722041106681
33,0.0,0.09569208800720592,0.0,0.5,0.0,0.67
34,0.026181779606564294,0.038467512165908865,0.0,0.0,0.0,0.6333455085508101
35,0.04739338973902801,0.05782698708162069,0.0,0.0,0.0,0.6036492543653609
36,0.031076770481025043,0.07879254294429569,0.0,0.5,0.0,0.626492521326565
37,0.017522492592811474,0.03206831012976849,0.0,0.0,0.0,0.6454685103700639
38,0.03980050110077659,0.05050141252868491,0.0,0.0,0.0,0.6142792984589128
39,0.02437986315232188,0.07096327853770801,0.0,0.5,0.0,0.6358681915867495
40,0.04658464506165656,0.024041055557477816,0.0,0.0,0.0,0.6047814969136809
41,0.06461093081973514,0.05089398037192938,0.0,0.0,0.0,0.5795446968523709
42,0.11572578325745221,0.07723968730171853,0.0,0.0,3.75,0.5079839034395669
43,0.012785238471888088,0.11111073156919772,0.0,0.5,0.0,0.6521006661393567
44,0.037528629765601465,0.05417925711999527,0.0,0.0,0.0,0.6174599183281579
45,0.09250990866075315,0.07343386198214047,0.0,0.0,3.75,0.5404861278749457
