t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.0758,0.3168,0.0,0.5,3.75,0.56388
2,0.0012072000000000194,0.23796799999999999,0.0,0.5,0.0,0.66830992
3,0.06055958400000002,0.155423488,0.0,0.5,0.0,0.5852165824
4,0.07503428851200003,0.10198156032000001,0.0,0.0,3.75,0.5649519960832
5,0.0,0.12163310870528002,0.0,0.5,0.0,0.67
6,0.057311029065400323,0.05973914913832962,0.0,0.0,0.0,0.5897645593084395
7,0.10542252882987255,0.08274074926912636,0.0,0.0,3.75,0.5224084596381784
8,0.05723544902980379,0.11314882131985303,0.0,0.5,0.0,0.5898703713582747
9,0.03637231377070846,0.06651854124943239,0.0,0.5,0.0,0.6190787607210082
10,0.05254404212654849,0.023274559129504584,0.0,0.0,0.0,0.5964383410228321
11,0.0656300928522923,0.0516957085965654,0.0,0.0,0.0,0.5781178700067908
12,0.11242409831630612,0.07814170333373377,0.0,0.0,3.75,0.5126062623571714
13,0.028169416915364204,0.11105798032957516,0.0,0.5,0.0,0.6305628163184902
14,0.08133580017347515,0.05782820392993904,0.0,0.0,3.75,0.5561298797571348
15,0.0010475240238574796,0.08693971926418405,0.0,0.5,0.0,0.6685334663665996
16,0.0,0.03154197556235672,0.0,0.0,0.0,0.67
17,0.020599297535684777,0.04586441996113251,0.0,0.0,0.0,0.6411609834500414
18,0.0035868198599504214,0.062552655776693,0.0,0.5,0.0,0.6649784521960694
19,0.05927316553931453,0.01215401450327636,0.0,0.0,0.0,0.5870175682449597
20,0.07120584863937274,0.04419185162212211,0.0,0.0,3.75,0.5703118119048782
21,0.02707667501068088,0.07332672200358958,0.0,0.5,0.0,0.6320926549850469
22,0.04467914822725376,0.02662631404550687,0.0,0.0,0.0,0.6074491924818448
23,0.09392996744230286,0.05255657309185653,0.0,0.0,3.75,0.538498045580776
24,0.046778346889125744,0.08563958212147504,0.0,0.5,0.0,0.604510314355224
25,0.09685653038495617,0.04145126059299971,0.0,0.0,3.75,0.5344008574610614
26,0.0,0.07723560097864925,0.0,0.5,0.0,0.67
27,0.021467476418594336,0.023333192802492377,0.0,0.0,0.0,0.639945533013968
28,0.0039053603832384792,0.04428541243850639,0.0,0.0,0.0,0.6645324954634662
29,0.0,0.057251324691552474,0.0,0.0,0.0,0.67
30,0.021087775169139497,0.06694608624707303,0.0,0.5,0.0,0.6404771147632048
31,0.03940746228415436,0.01995685676319336,0.0,0.0,0.0,0.6148295528021839
32,0.08926959784287343,0.0458224134940156,0.0,0.0,3.75,0.5450225630199772
33,0.007642480001257446,0.07899908254738242,0.0,0.5,0.0,0.6593005279982396
34,0.028073515369481668,0.026613442889155372,0.0,0.0,0.0,0.6306970784827257
35,0.04464887863264819,0.048560666857783,0.0,0.0,0.0,0.6074915699142925
36,0.024320688294375316,0.07053547769521763,0.0,0.5,0.0,0.6359510363878746
37,0.007255966009371909,0.02367605690072853,0.0,0.0,0.0,0.6598416475868794
38,0.02668997584917368,0.04115579850084665,0.0,0.0,0.0,0.6326340338111569
39,0.008735339401805445,0.06015334897449594,0.0,0.0,0.0,0.6577705248374724
40,0.028655305516068107,0.07142222761551997,0.0,0.5,0.0,0.6298825722775047
41,0.046000585068513455,0.02544349996858272,0.0,0.0,0.0,0.6055991809040812
42,0.09504392965832464,0.05190381039068105,0.0,0.0,3.75,0.5369384984783455
43,0.012723951903582137,0.08537166763835637,0.0,0.5,0.0,0.6521864673349851
44,0.032564660322209414,0.033058515920311934,0.0,0.0,0.0,0.6244094755489069
45,0.08363371967958602,0.05492350153198605,0.0,0.0,3.75,0.5529127924485796
46,0.037968545453551716,0.08510936397932921,0.0,0.5,0.0,0.6168440363650276
47,0.05427002700566173,0.038902129371902364,0.0,0.0,0.0,0.5940219621920736
48,0.06741136368293524,0.06492455256631875,0.0,0.5,0.0,0.5756240908438907
49,0.07920733926608436,0.029416860388285834,0.0,0.0,3.75,0.5591097250274819
50,0.0,0.06313158694225462,0.0,0.5,0.0,0.67
51,0.0,0.011767901292648795,0.0,0.0,0.0,0.67
52,0.0,0.02964967905997201,0.0,0.0,0.0,0.67
53,0.055563343902139475,0.04431273682917705,0.0,0.0,0.0,0.5922113185370048
54,0.0686264177555943,0.06967164673643866,0.0,0.5,0.0,0.573923015142168
55,0.08034248055780344,0.03360109058522234,0.0,0.0,3.75,0.5575205272190752
56,0.03473295400083018,0.06683508961375514,0.0,0.5,0.0,0.6213738643988378
57,0.051140207143375305,0.023140682443478455,0.0,0.0,0.0,0.5984037099992746
58,0.06442025110972885,0.05124900931806241,0.0,0.0,0.0,0.5798116484463797
59,0.041375147131409995,0.0774850479071461,0.0,0.5,0.0,0.612074794016026
60,0.022054842443248374,0.033467774595398195,0.0,0.0,0.0,0.6391232205794524
61,0.03960305221850617,0.05273673735460613,0.0,0.0,0.0,0.6145557268940914
62,0.055060622917652825,0.07274885716321851,0.0,0.5,0.0,0.5929151279152861
63,0.06873436399528259,0.03286861237407586,0.0,0.0,0.0,0.5737718904066044
64,0.11473605667105047,0.06344850950561003,0.0,0.0,3.75,0.5093695206605293
65,0.029878530417709992,0.09956443139565234,0.0,0.5,0.0,0.628170057415206
66,0.047587260355747986,0.04881368104468532,0.0,0.0,0.0,0.6033778355019529
67,0.06185250384579229,0.07144816094202149,0.0,0.5,0.0,0.5834064946158908
68,0.07455066836527977,0.03343209289544777,0.0,0.0,3.75,0.5656290642886084
69,0.0,0.06530647658193431,0.0,0.5,0.0,0.67
70,0.02124082305505675,0.01355131079718613,0.0,0.0,0.0,0.6402628477229206
71,0.0035245827324953405,0.03620987238690625,0.0,0.0,0.0,0.6650655841745066
72,0.023719128725297214,0.050537995213062,0.0,0.0,0.0,0.6367932197845839
73,0.07635867261280378,0.06713374696878217,0.0,0.0,3.75,0.5630978583420747
74,0.0,0.09337575394147428,0.0,0.5,0.0,0.67
75,0.0,0.03656811823200891,0.0,0.0,0.0,0.67
76,0.02069479424640817,0.04998585695024731,0.0,0.0,0.0,0.6410272880550286
77,0.038747254333965725,0.06595515331834075,0.0,0.5,0.0,0.615753843932448
78,0.054575786640259,0.023382566761191183,0.0,0.0,0.0,0.5935938987036374
79,0.06737944527908538,0.052271893537838926,0.0,0.0,0.0,0.5756687766092805
80,0.11393948891723236,0.07903401956800842,0.0,0.0,3.75,0.5104847155158747
81,0.029489606840611998,0.11215337338590266,0.0,0.5,0.0,0.6287145504231433
82,0.04749197597725847,0.059043271818187054,0.0,0.0,0.0,0.6035112336318382
83,0.09696492150498784,0.07981355712545542,0.0,0.0,3.75,0.5342491098930171
84,0.0,0.10871869800407052,0.0,0.5,0.0,0.67
85,0.0,0.049149332363337836,0.0,0.0,0.0,0.67
86,0.0,0.06030245253793702,0.0,0.0,0.0,0.67
87,0.021145746598220803,0.06944801108110836,0.0,0.5,0.0,0.6403959547624909
88,0.03950485428501095,0.022022348270081846,0.0,0.0,0.0,0.6146932040009847
89,0.019392599302240965,0.04753949060986974,0.0,0.0,0.0,0.6428503609768627
90,0.03758088572151476,0.06363660613263102,0.0,0.5,0.0,0.6173867599898794
91,0.018528657237022676,0.021201429601920976,0.0,0.0,0.0,0.6440598798681683
92,0.03633747238627599,0.04183205001046064,0.0,0.0,0.0,0.6191275386592137
93,0.0520450352023961,0.06302327438128397,0.0,0.5,0.0,0.5971369507166455
94,0.06595617248730504,0.024169893441227924,0.0,0.0,0.0,0.577661358517773
95,0.07718153631446567,0.055648794018760106,0.0,0.0,3.75,0.5619458491597481
