t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.053300000000000014,0.3048,0.0,0.5,0.0,0.59538
2,0.0716292,0.210728,0.0,0.5,3.75,0.56971912
3,0.008104944000000017,0.13798796800000002,0.0,0.5,0.0,0.6586530784
4,0.02959202323200001,0.06309532032000002,0.0,0.5,0.0,0.6285711674752
5,0.011647951065600001,0.006840248238080025,0.0,0.0,0.0,0.65369286850816
6,0.06514720263293952,0.02840451181096962,0.0,0.0,0.0,0.5787939163138847
7,0.11156627998873642,0.05892702831690057,0.0,0.0,3.75,0.5138072080157691
8,0.03956661432833444,0.0950960704171552,0.0,0.5,0.0,0.6146067399403318
9,0.02083411366029357,0.03547476518086755,0.0,0.0,0.0,0.640832240875589
10,0.03859135828628895,0.054089494726781845,0.0,0.0,0.0,0.6159720983991955
11,0.05421626852601735,0.07361531166467046,0.0,0.5,0.0,0.5940972240635758
12,0.10302468185400367,0.021376460011273937,0.0,0.0,3.75,0.525765445404395
13,0.0,0.06225462085420551,0.0,0.0,0.0,0.67
14,0.05618283779622991,0.07104878910044851,0.0,0.5,0.0,0.5913440270852781
15,0.06966716749766624,0.01974388813346296,0.0,0.0,3.75,0.5724659655032673
16,0.0,0.05291010846887953,0.0,0.0,0.0,0.67
17,0.02100529206090871,0.06338628894448121,0.0,0.5,0.0,0.6405925911147279
18,0.0042688906623266284,0.005018027029092691,0.0,0.0,0.0,0.6640235530727427
19,0.058766588483153664,0.025139315922814397,0.0,0.0,0.0,0.5877267761235849
20,0.07101691309804563,0.05471822029266468,0.0,0.0,3.75,0.5705763216627362
21,0.004614191449879887,0.08191299978351599,0.0,0.5,0.0,0.6635401319701681
22,0.025524551642783506,0.016276065770454286,0.0,0.0,0.0,0.6342656277001031
23,0.07726035966243244,0.03947226632604056,0.0,0.0,3.75,0.5618354964725946
24,0.009693882369886692,0.07090974470633704,0.0,0.5,0.0,0.6564285646821587
25,0.06468402398752296,0.008472522427969188,0.0,0.0,0.0,0.5794423664174679
26,0.04078923855540116,0.042471634147940245,0.0,0.0,0.0,0.6128950660224384
27,0.05588570620645586,0.06461615725460729,0.0,0.5,0.0,0.5917600113109618
28,0.03428941432538957,0.014397818438327378,0.0,0.0,0.0,0.6219948199444546
29,0.014762454870163241,0.04003567055752194,0.0,0.0,0.0,0.6493325631817715
30,0.03345638892893331,0.05637223902600716,0.0,0.0,0.0,0.6231610554994934
31,0.04984356702037678,0.07425476934426986,0.0,0.5,0.0,0.6002190061714725
32,0.09927630825506516,0.02085136694719172,0.0,0.0,3.75,0.5310131684429088
33,0.0,0.06092443487791285,0.0,0.0,0.0,0.67
34,0.021157564262680343,0.06995803659988854,0.0,0.5,0.0,0.6403794100322475
35,0.039524707961302974,0.010443405434951886,0.0,0.0,0.0,0.6146654088541759
36,0.01918967354998464,0.03804952236737326,0.0,0.0,0.0,0.6431344570300216
37,0.0022260601779668793,0.05580612999324239,0.0,0.0,0.0,0.6668835157508464
38,0.02297472822292312,0.0662952810371708,0.0,0.5,0.0,0.6378353804879077
39,0.006017876611420128,0.007876065223981609,0.0,0.0,0.0,0.6615749727440119
40,0.02532501912507696,0.02790266387040575,0.0,0.0,0.0,0.6345449732248923
41,0.042309667061103895,0.04895818896375118,0.0,0.0,0.0,0.6107664661144546
42,0.09231651926286062,0.07030003504494091,0.0,0.0,3.75,0.5407568730319952
43,0.0,0.0998019933599381,0.0,0.5,0.0,0.67
44,0.021896237873838823,0.029837634555149244,0.0,0.0,0.0,0.6393452669766256
45,0.07439767962804923,0.049721957424943695,0.0,0.0,3.75,0.5658432485207311
46,0.00742672167119629,0.07862744819918564,0.0,0.5,0.0,0.6596025896603253
47,0.027880902153013334,0.014256920724419347,0.0,0.0,0.0,0.6309667369857813
48,0.04424845734535543,0.03838209151074706,0.0,0.0,0.0,0.6080521597165024
49,0.05878293305570986,0.062092944801697886,0.0,0.0,0.0,0.5877038937220063
50,0.03673308837914274,0.08502411867076264,0.0,0.5,0.0,0.6185736762692002
51,0.01820591426080724,0.026535718521019627,0.0,0.0,0.0,0.6445117200348699
52,0.0011612649161936023,0.04612870860982983,0.0,0.0,0.0,0.668374229117329
53,0.056875133291513266,0.05810424463994693,0.0,0.0,0.0,0.5903748133918815
54,0.0700165952788604,0.08129551259471966,0.0,0.0,3.75,0.5719767666095955
55,0.0,0.10346630319459663,0.0,0.5,0.0,0.67
56,0.056965859760697346,0.03284236861956924,0.0,0.0,0.0,0.5902477963350238
57,0.06961464439797153,0.060602548610614135,0.0,0.0,3.75,0.5725394978428399
58,0.0,0.08640160451621676,0.0,0.5,0.0,0.67
59,0.0,0.01884931570329774,0.0,0.0,0.0,0.67
60,0.0,0.03545643887670415,0.0,0.0,0.0,0.67
61,0.02067367233865738,0.0490742798788974,0.0,0.0,0.0,0.6410568587258797
62,0.038711769528944395,0.06520259086197364,0.0,0.5,0.0,0.6158035226594779
63,0.05453097102126968,0.01075694919376503,0.0,0.0,0.0,0.5936566405702225
64,0.10210101711297345,0.04190813138399205,0.0,0.0,3.75,0.5270585760418371
65,0.0,0.0788689118419871,0.0,0.5,0.0,0.67
