t,x,g,u,r,a,ed_proxy
0,0.12,0.4,0.0,0.5,3.75,0.502
1,0.05178000000000002,0.3168,0.0,0.5,0.0,0.597508
2,0.06934616000000002,0.23220320000000003,0.0,0.5,0.0,0.572915376
3,0.11816718624000001,0.1670497024,0.0,0.0,3.75,0.5045659392640001
4,0.011662935642880026,0.18534088066559998,0.0,0.5,0.0,0.653671890099968
5,0.0,0.11477862670008317,0.0,0.5,0.0,0.67
6,0.05674463512584127,0.054118473894068195,0.0,0.0,0.0,0.5905575108238222
7,0.10462298701141333,0.07799586102333782,0.0,0.0,3.75,0.5235278181840214
8,0.03366130591737021,0.10906612292187622,0.0,0.5,0.0,0.6228741717156817
9,0.015606528157350898,0.05751293421610734,0.0,0.0,0.0,0.6481508605797088
10,0.0342958108154066,0.07090617281497223,0.0,0.5,0.0,0.6219858648584308
11,0.050572171128037254,0.026374056303974807,0.0,0.0,0.0,0.5991989604207479
12,0.09889295282593245,0.05376404723998829,0.0,0.0,3.75,0.5315498660436946
13,0.0,0.08782082741501418,0.0,0.5,0.0,0.67
14,0.056334876576708215,0.032013078480311624,0.0,0.0,0.0,0.5911311727926085
15,0.06893459264886981,0.05977109473226551,0.0,0.0,0.0,0.5734915702915823
16,0.04519227031795847,0.08555659991618647,0.0,0.5,0.0,0.6067308215548581
17,0.060165812792170315,0.041002556807582954,0.0,0.0,0.0,0.5857678620909615
18,0.03736583786474172,0.06806189165233889,0.0,0.5,0.0,0.6176878269893616
19,0.08816916131679343,0.02477855224245591,0.0,0.0,3.75,0.5465631741564893
20,0.0,0.06147901155484427,0.0,0.0,0.0,0.67
21,0.05593448097563364,0.0704127894749723,0.0,0.5,0.0,0.591691726634113
22,0.06917392803906451,0.03116276280362935,0.0,0.0,0.0,0.5731565007453097
23,0.11496325210821065,0.06215520822835155,0.0,0.0,3.75,0.5090514470485051
24,0.04231315597813212,0.09855845125321883,0.0,0.5,0.0,0.6107615816306151
25,0.09288740260024256,0.05097308746239114,0.0,0.0,3.75,0.5399576363596604
26,0.0,0.08409090834321896,0.0,0.5,0.0,0.67
27,0.021278181806816926,0.02895454484143954,0.0,0.0,0.0,0.6402105454704563
28,0.003739345435452436,0.04884949040361648,0.0,0.0,0.0,0.6647649163903666
29,0.0,0.060954025035474105,0.0,0.0,0.0,0.67
30,0.02092650118053921,0.06998230052908877,0.0,0.5,0.0,0.6407028983472451
31,0.03906052198330587,0.0224078467171822,0.0,0.0,0.0,0.6153152692233719
32,0.08893264817574421,0.04774895958408282,0.0,0.0,3.75,0.5454942925539581
33,0.0,0.08049798242112652,0.0,0.5,0.0,0.67
34,0.02122356933280112,0.026008345585323746,0.0,0.0,0.0,0.6402870029340785
35,0.038647596479105886,0.04642050001983774,0.0,0.0,0.0,0.6158933649292518
36,0.018942524572332593,0.06734023317125236,0.0,0.5,0.0,0.6434804655987344
37,0.002314142676409066,0.01976519709778676,0.0,0.0,0.0,0.6667602002530274
38,0.022290593697598157,0.036762855862523314,0.0,0.0,0.0,0.6387931688233626
39,0.0047287059890447625,0.05549528429469268,0.0,0.0,0.0,0.6633798116153373
40,0.024910215471857823,0.06664102255901874,0.0,0.5,0.0,0.6351256983393991
41,0.042435728848694815,0.02062409021164124,0.0,0.0,0.0,0.6105899796118273
42,0.09180821298109448,0.04709632889723257,0.0,0.0,3.75,0.5414685018264678
43,0.0,0.08065296081119339,0.0,0.5,0.0,0.67
44,0.021225925004330144,0.02613542786517858,0.0,0.0,0.0,0.6402837049939378
45,0.07365155400727465,0.04652527285048567,0.0,0.0,3.75,0.5668878243898156
46,0.0065475205935836,0.07582709669914416,0.0,0.5,0.0,0.6608334711689829
47,0.02678343958030889,0.023749624235758268,0.0,0.0,0.0,0.6325031845875676
48,0.043394752327449174,0.04590271737259591,0.0,0.0,0.0,0.6092473467415712
49,0.05801720830566975,0.06805496880411645,0.0,0.5,0.0,0.5887759083720624
50,0.035929234668698545,0.029729204412736226,0.0,0.0,0.0,0.6196990714638221
51,0.016351025722154335,0.05300096393893136,0.0,0.0,0.0,0.647108563988984
52,0.0,0.06738503660324076,0.0,0.5,0.0,0.67
53,0.05602425255636927,0.01525573001465742,0.0,0.0,0.0,0.591566046421083
54,0.06841274429470036,0.045955519225547706,0.0,0.0,0.0,0.5742221579874195
55,0.07953348398567063,0.0741025843956772,0.0,0.0,3.75,0.5586531224200612
56,0.012025155510491048,0.09985215536101626,0.0,0.5,0.0,0.6531647822853126
57,0.03185938650050975,0.04476480471855118,0.0,0.0,0.0,0.6253968588992864
58,0.04807949742216036,0.0643533926293343,0.0,0.5,0.0,0.6026887036089755
59,0.02732653935102379,0.024308861337372614,0.0,0.0,0.0,0.6317428449085667
60,0.00887031853420852,0.046491635740891255,0.0,0.0,0.0,0.6575815540521082
61,0.028335146802680875,0.06025201775574088,0.0,0.0,0.0,0.6303307944762468
