case,param,mult,tag,mean_x,sd_x,acf1_x,mean_g,sd_g,acf1_g,mean_ed,mean_u,mean_r,mean_a
baseline,-,1.0,sens_baseline,0.03436527845496098,0.029534059068319348,0.006965636231748537,0.05280400163425809,0.02217970772411303,-0.14820937881442017,0.6218886101630546,0.0,0.15405405405405406,0.5878378378378378
S0_0.8,S0,0.8,sens_S0_0.8,0.03368499029468784,0.02931818074235027,0.09636224832392541,0.05218003005096483,0.022225858632247155,-0.13259139059607802,0.622841013587437,0.0,0.15405405405405406,0.4864864864864865
S0_1.2,S0,1.2,sens_S0_1.2,0.0408498898540127,0.030638552961998022,-0.013314449734625072,0.05837849282136569,0.024037318790433967,-0.039765501375242825,0.6128101542043822,0.0,0.15945945945945947,0.7094594594594594
k_a_0.8,k_a,0.8,sens_k_a_0.8,0.04103838254972833,0.030539902158787113,0.1502479629766133,0.05617834870953768,0.022707181990468162,-0.11081347122223846,0.6125462644303804,0.0,0.16486486486486487,0.6486486486486487
k_a_1.2,k_a,1.2,sens_k_a_1.2,0.03308930263472472,0.029683062360039515,-0.016430758763760354,0.05351377024274667,0.02192661467073834,-0.1702412772098582,0.6236749763113855,0.0,0.15135135135135136,0.5878378378378378
phi_g_0.8,phi_g,0.8,sens_phi_g_0.8,0.03389973975235819,0.02935990777757535,0.004219104451035465,0.054206774472857946,0.022440620640426824,-0.11416020333566565,0.6225403643466986,0.0,0.15135135135135136,0.5878378378378378
phi_g_1.2,phi_g,1.2,sens_phi_g_1.2,0.03458619748843576,0.029954302905345242,0.0013397251045823776,0.052762643859043105,0.02267825745321492,-0.1288528020291479,0.62157932351619,0.0,0.15675675675675677,0.6081081081081081
k_r_0.8,k_r,0.8,sens_k_r_0.8,0.0336494104812167,0.029321825547797435,0.001836888007915396,0.038643868594564375,0.026542927380463276,-0.18041832578658068,0.6228908253262967,0.0,0.24324324324324326,0.5878378378378378
k_r_1.2,k_r,1.2,sens_k_r_1.2,0.033513491889365574,0.029649356202362826,-0.003281059723116495,0.04796481097804711,0.025264308661752805,-0.12785284852458476,0.6230811113548881,0.0,0.13243243243243244,0.6081081081081081
c_r_0.8,c_r,0.8,sens_c_r_0.8,0.03436527845496098,0.029534059068319348,0.006965636231748537,0.05280400163425809,0.02217970772411303,-0.14820937881442017,0.6218886101630546,0.0,0.15405405405405406,0.5878378378378378
c_r_1.2,c_r,1.2,sens_c_r_1.2,0.03436527845496098,0.029534059068319348,0.006965636231748537,0.05280400163425809,0.02217970772411303,-0.14820937881442017,0.6218886101630546,0.0,0.15405405405405406,0.5878378378378378
