t,x,g,c,u,r,a,ed_proxy
0,0.1,0.4,0.75,0.0,0.5,3.75,0.49250000000000005
1,0.03610000000000002,0.31200000000000006,0.7872250000000001,0.0,0.5,0.0,0.58754375
2,0.05697400000000002,0.224504,0.7747196000000001,0.0,0.5,0.0,0.55644434
3,0.10826321600000002,0.15776704,0.7619219640000001,0.0,0.0,3.75,0.4827197922
4,0.0036039395200000296,0.17535214463999999,0.7990312789760001,0.0,0.5,0.0,0.6348091765184001
5,0.0,0.1046537040896,0.7869808238227202,0.0,0.5,0.0,0.6380471235734081
6,0.0569884203777024,0.04581603735347199,0.7749808238227202,0.0,0.0,0.0,0.5564633350446246
7,0.10488054623454003,0.07124637152049561,0.7621829859374323,0.0,0.0,3.75,0.48749468316225886
8,0.03405095082059387,0.10359335574309601,0.7993396582901487,0.0,0.5,0.0,0.592229617594691
9,0.016252091464829546,0.05311877990628126,0.7868629449786604,0.0,0.0,0.0,0.6152765136960378
10,0.034986055477972754,0.06745790147470972,0.7746354156981528,0.0,0.5,0.0,0.587214834685561
11,0.05136970783907605,0.023712132523975426,0.7621456109214612,0.0,0.0,0.0,0.5624042506635127
12,0.09962847925956095,0.05177267855103811,0.7494264350117141,0.0,0.5,3.75,0.4929340942883718
13,0.0,0.026364431434145876,0.7866566363020803,0.0,0.0,0.0,0.6379984954453121
14,0.05550092419724878,0.04161883377599962,0.7746566363020803,0.0,0.0,0.0,0.5584972015691637
15,0.06852155265137794,0.0674476655036594,0.7618796233633188,0.0,0.5,0.0,0.5383517697925687
16,0.04521004092475456,0.031752258349331416,0.7489203216261995,0.0,0.0,0.0,0.5690439909492735
17,0.05948392810392622,0.05688726166839285,0.7362873810532529,0.0,0.0,0.0,0.5471656078124914
18,0.03723703614107601,0.08092369731302443,0.7234546060597979,0.0,0.5,0.0,0.5763863403114633
19,0.08856140133027283,0.035294320470538265,0.7109332875538229,0.0,0.0,0.0,0.5026540312706915
20,0.09683339723297485,0.07019607910510686,0.6976934279351991,0.0,0.0,3.75,0.4890872580641151
21,0.02711044712335542,0.1008008002021016,0.7349627603739375,0.0,0.5,0.0,0.592289788083393
22,0.04523019972992559,0.049163163475328606,0.7225832141142106,0.0,0.0,0.0,0.5650652024952357
23,0.09483207187376726,0.0711690419849516,0.7099499913179916,0.0,0.0,3.75,0.4937275980744246
24,0.025407793609153934,0.10111831167736444,0.7472473423117589,0.0,0.5,0.0,0.5965161902939484
