t,x,g,c,u,r,a,ed_proxy
0,0.1,0.4,0.75,0.0,0.5,3.75,0.49250000000000005
1,0.003505000000000008,0.29460000000000003,0.828925,0.0,0.5,0.0,0.6394317500000001
2,0.024792545000000013,0.18732908,0.81807593,0.0,0.5,0.0,0.6080018265
3,0.07672408415100002,0.10396503532000001,0.80692883437,0.0,0.5,0.0,0.5336256073440999
4,0.08531606394783903,0.046823731139016014,0.7950546971918859,0.0,0.0,0.0,0.5198157150518082
5,0.056972329346999445,0.07682372934672636,0.7830602722966162,0.0,0.5,0.0,0.5576977797586932
6,0.10298146756729129,0.020301481203267493,0.7714626596857582,0.0,0.0,3.75,0.49154534435865593
7,0.001199428604302416,0.05889121158121427,0.8503459191398162,0.0,0.0,0.0,0.6458726878249491
8,0.05478678838822916,0.06854987007512502,0.8395291271393559,0.0,0.5,0.0,0.5692278653273826
9,0.030995790097590556,0.013044839753460016,0.8279621121019207,0.0,0.0,0.0,0.6008002106786614
10,0.044823679553766003,0.037391859258916776,0.8167281710405545,0.0,0.0,0.0,0.5797560742808109
11,0.05702791501123437,0.060343239375925214,0.8053006395268018,0.0,0.0,0.0,0.5609560149132922
12,0.10281790895465781,0.0817994859306853,0.7937022487166445,0.0,0.0,3.75,0.4951102647709758
13,0.0,0.10928424679736802,0.8725877979912793,0.0,0.5,0.0,0.6508881696986919
14,0.05440157046517625,0.03461308237384178,0.8617877979912792,0.0,0.0,0.0,0.5731059710474452
15,0.0652292633814961,0.060133466767028326,0.8502261760047668,0.0,0.0,0.0,0.5562129576666205
16,0.03986837821937378,0.08339896363936639,0.8385129663174259,0.0,0.5,0.0,0.5899612154404906
17,0.05335639697733632,0.02199871987966517,0.8271548090223546,0.0,0.0,0.0,0.5693742655850823
18,0.029168634982965944,0.049563932048430084,0.8156078194646719,0.0,0.0,0.0,0.6015050839435485
19,0.07872068351387183,0.0669428494360333,0.8043994585749104,0.0,0.5,0.0,0.5304509618668161
20,0.0865583298659469,0.016896804176543625,0.7924973690057161,0.0,0.0,0.0,0.5176929435385318
21,0.1276568651982785,0.05255197867581031,0.7804855523875929,0.0,0.0,3.75,0.45835322158054903
22,0.0,0.09066650539699261,0.859023356274817,0.0,0.5,0.0,0.6488535034412226
23,0.05416279793171644,0.019346534425533937,0.8482233562748169,0.0,0.0,0.0,0.5714055863368195
24,0.09982812552528361,0.04756332258218858,0.8366650771037729,0.0,0.0,3.75,0.5057403858301689
25,0.0,0.0805647996308559,0.915592483346419,0.0,0.5,0.0,0.6573388725019629
26,0.0,0.01106313569730184,0.9047924833464189,0.0,0.0,0.0,0.6557188725019629
27,0.018141884715317896,0.02907177127178751,0.8939924833464189,0.0,0.0,0.0,0.6287002339005178
28,0.0,0.047757499541374426,0.8829384969604045,0.0,0.0,0.0,0.6524407745440607
29,0.0,0.05916114962392703,0.8721384969604045,0.0,0.0,0.0,0.6508207745440607
30,0.018758741743926867,0.06851214269162016,0.8613384969604044,0.0,0.5,0.0,0.622938536102563
31,0.03501118612979714,0.005231845223816738,0.8502758745759894,0.0,0.0,0.0,0.5985257206046825
32,0.08317671848662099,0.031852529287565906,0.8389857179701723,0.0,0.0,0.0,0.5294004518142565
33,0.08994048658660708,0.06408524520891418,0.8270212439113596,0.0,0.0,3.75,0.5181365053654541
34,0.0,0.09197704617401675,0.906087077099147,0.0,0.5,0.0,0.6559130615648721
35,0.019179605617181766,0.02042117786269373,0.895287077099147,0.0,0.0,0.0,0.6274416137008176
36,0.0,0.040888160660720124,0.8842185626205065,0.0,0.0,0.0,0.652632784393076
37,0.0,0.053528291741790496,0.8734185626205064,0.0,0.0,0.0,0.651012784393076
38,0.018686500341588464,0.06389319922826821,0.8626185626205064,0.0,0.5,0.0,0.6232316839148522
39,0.0,0.0014287074409630347,0.8515569516157242,0.0,0.0,0.0,0.6477335427423587
40,0.018018323172930353,0.02117154010158969,0.8407569516157242,0.0,0.0,0.0,0.6208878903002562
41,0.033767282930522995,0.0412526206886565,0.8297046950913032,0.0,0.0,0.0,0.5971815081609633
42,0.0825689281805818,0.061120882077691285,0.8184319531302758,0.0,0.0,0.0,0.5271682935167268
43,0.08979315354794673,0.08795401179071252,0.8064759881357477,0.0,0.0,3.75,0.5152609832532368
44,0.0,0.11151761083474075,0.8855438839860765,0.0,0.5,0.0,0.6528315825979115
45,0.05443021335895556,0.03644444088448742,0.8747438839860765,0.0,0.0,0.0,0.5750092838953738
46,0.10027738344304533,0.06164136761081408,0.8631818609990511,0.0,0.0,3.75,0.5090889423295942
47,0.0,0.09220583626456534,0.9421029776308485,0.0,0.5,0.0,0.6613154466446273
48,0.019182539850093053,0.020608785736943577,0.9313029776308485,0.0,0.0,0.0,0.632839890854497
49,0.03476129194815633,0.04104263291191383,0.9202344220729471,0.0,0.0,0.0,0.6093693545835233
50,0.013421082842509736,0.0611633980485711,0.908947763985673,0.0,0.0,0.0,0.6375526486183374
51,0.0,0.0730529402938104,0.8979598688258779,0.0,0.5,0.0,0.6546939803238817
52,0.0,0.0049034110409245275,0.8871598688258778,0.0,0.0,0.0,0.6530739803238818
53,0.05306288624659986,0.024020797053558113,0.8763598688258778,0.0,0.0,0.0,0.5771659395786418
54,0.06394214889428776,0.051158637013183225,0.8648169884184254,0.0,0.0,0.0,0.560203539810761
55,0.07364635756878155,0.0757615865119764,0.8531217983339053,0.0,0.5,0.0,0.5448633691537916
56,0.11730750985616822,0.023032114174677456,0.8412907493279423,0.0,0.0,3.75,0.48196309860055586
57,0.0,0.06422475575216785,0.919973444189956,0.0,0.5,0.0,0.6579960166284934
