t,x,g,c,u,r,a,ed_proxy
0,0.1,0.4,0.75,0.0,0.5,3.75,0.49250000000000005
1,0.03610000000000002,0.31200000000000006,0.8041,0.0,0.5,0.0,0.590075
2,0.05697400000000002,0.224504,0.7915946,0.0,0.5,0.0,0.55897559
3,0.10826321600000002,0.15776704,0.7787969640000001,0.0,0.0,3.75,0.4852510422
4,0.0036039395200000296,0.17535214463999999,0.8327812789760001,0.0,0.5,0.0,0.6398716765184
5,0.0,0.1046537040896,0.8207308238227201,0.0,0.5,0.0,0.6431096235734081
6,0.0569884203777024,0.04581603735347199,0.8087308238227201,0.0,0.0,0.0,0.5615258350446246
7,0.10488054623454003,0.07124637152049561,0.7959329859374322,0.0,0.0,3.75,0.4925571831622588
8,0.03405095082059387,0.10359335574309601,0.8499646582901487,0.0,0.5,0.0,0.599823367594691
9,0.016252091464829546,0.05311877990628126,0.8374879449786603,0.0,0.0,0.0,0.6228702636960377
10,0.034986055477972754,0.06745790147470972,0.8252604156981527,0.0,0.5,0.0,0.5948085846855611
11,0.05136970783907605,0.023712132523975426,0.8127706109214611,0.0,0.0,0.0,0.5699980006635127
12,0.09962847925956095,0.05177267855103811,0.800051435011714,0.0,0.5,3.75,0.5005278442883718
13,0.0,0.026364431434145876,0.8541566363020802,0.0,0.0,0.0,0.6481234954453121
14,0.05550092419724878,0.04161883377599962,0.8421566363020802,0.0,0.0,0.0,0.5686222015691638
15,0.06852155265137794,0.0674476655036594,0.8293796233633187,0.0,0.5,0.0,0.5484767697925688
16,0.04521004092475456,0.031752258349331416,0.8164203216261994,0.0,0.0,0.0,0.5791689909492735
17,0.05948392810392622,0.05688726166839285,0.8037873810532528,0.0,0.0,0.0,0.5572906078124913
18,0.03723703614107601,0.08092369731302443,0.7909546060597978,0.0,0.5,0.0,0.5865113403114632
19,0.08856140133027283,0.035294320470538265,0.7784332875538228,0.0,0.0,0.0,0.5127790312706915
20,0.09683339723297485,0.07019607910510686,0.765193427935199,0.0,0.0,3.75,0.4992122580641151
21,0.02711044712335542,0.1008008002021016,0.8193377603739374,0.0,0.5,0.0,0.6049460380833931
22,0.04523019972992559,0.049163163475328606,0.8069582141142104,0.0,0.0,0.0,0.5777214524952358
23,0.09483207187376726,0.0711690419849516,0.7943249913179915,0.0,0.0,3.75,0.5063838480744246
24,0.025407793609153934,0.10111831167736444,0.8484973423117588,0.0,0.5,0.0,0.6117036902939483
25,0.07877195042574231,0.0490148860416358,0.8361416332012306,0.0,0.0,0.0,0.5351405143841453
26,0.05367516020092947,0.07909747465631951,0.8230388258952702,0.0,0.5,0.0,0.5683105996029894
27,0.0676634897912694,0.03774196766640507,0.8102873736524572,0.0,0.0,0.0,0.5468142203400914
28,0.043907698606153386,0.06718765103635682,0.7973400847953794,0.0,0.5,0.0,0.5781302346706921
29,0.02403718617098269,0.0256317215152894,0.7847253770148933,0.0,0.0,0.0,0.6040567459128583
30,0.04115898281583561,0.046786936323573156,0.7723888564084995,0.0,0.0,0.0,0.5782357525191051
31,0.05628567701176651,0.06824344366113054,0.7598126306490778,0.0,0.5,0.0,0.5551719467808885
32,0.1047023076596807,0.029468186284950997,0.747024631170913,0.0,0.5,3.75,0.48547046395208404
33,0.0,0.009292466591983187,0.8010587988636775,0.0,0.0,0.0,0.6401588198295517
34,0.02017655686524768,0.027619822605426215,0.7890587988636775,0.0,0.0,0.0,0.610111640218205
35,0.037876615533616105,0.04749062818410894,0.776776327067564,0.0,0.0,0.0,0.5834891873130721
36,0.01847621129440792,0.0680327028390372,0.7642460544500934,0.0,0.5,0.0,0.608770212355343
37,0.0021821630671325157,0.020221107038668407,0.7519873874919717,0.0,0.0,0.0,0.6297430798298103
38,0.022260861271468663,0.0371050269078199,0.7399568372090318,0.0,0.0,0.0,0.5998283198012987
39,0.004849336204711618,0.055768728769564804,0.7276451851512312,0.0,0.0,0.0,0.6223577070860884
40,0.025230034982673722,0.06689419828017393,0.7155772944443652,0.0,0.5,0.0,0.5920145451909116
41,0.04296881985242271,0.020908450985584314,0.7032240739546078,0.0,0.0,0.0,0.5653272632997993
42,0.09235044564180964,0.04745744657276059,0.6906225104766739,0.0,0.5,3.75,0.4943027526729676
43,0.0,0.021079213143697994,0.7448296042376885,0.0,0.0,0.0,0.6317244406356534
44,0.02040050504973026,0.03728495477783235,0.7328296042376885,0.0,0.0,0.0,0.601363733566031
45,0.07325284848354684,0.05546978412975778,0.7205439971669922,0.0,0.0,0.0,0.5255276116980833
46,0.11905137559431568,0.08306590662245263,0.7075184572882226,0.0,0.0,3.75,0.4594558427611915
47,0.011462435236938101,0.11668637357304691,0.7613517380299022,0.0,0.5,0.0,0.618155351372772
48,0.03207473540165466,0.058433810786763615,0.7491912639365851,0.0,0.0,0.0,0.5874740600281713
49,0.04869451485037152,0.07561366134154328,0.7367422176409619,0.0,0.5,0.0,0.5623390118556242
50,0.02831394233680881,0.03368988586415465,0.7240604944330568,0.0,0.0,0.0,0.5889695548934263
51,0.00999009824107451,0.054421052569440936,0.7116640992403415,0.0,0.0,0.0,0.612763477348547
52,0.0,0.06702288668479944,0.6995242378649664,0.0,0.5,0.0,0.624928635679745
53,0.056273434847011194,0.014958767081535543,0.6875242378649664,0.0,0.0,0.0,0.5443458268939293
54,0.0686793705429788,0.04577181337014183,0.6747364097771082,0.0,0.0,0.0,0.5250593427063959
55,0.07993392312099447,0.07401593589383121,0.6617748985895066,0.0,0.5,0.0,0.5073587424190338
56,0.12514947666603804,0.03987720898198026,0.6486558236658126,0.0,0.5,3.75,0.4420891062174187
57,0.01588621690345035,0.02273518576507295,0.7024037309924881,0.0,0.0,0.0,0.6031198559840428
58,0.034094115066503686,0.0424555443841879,0.6901813239558398,0.0,0.0,0.0,0.5757954375002708
59,0.015127594300492736,0.06299613401099496,0.6777040063449087,0.0,0.5,0.0,0.6004769689310465
60,0.0,0.015287452521134125,0.6654922200247018,0.0,0.0,0.0,0.6198238330037054
61,0.02029046159790155,0.032535711067329984,0.6534922200247018,0.0,0.0,0.0,0.5896171867666432
62,0.0380679754844746,0.051548993858706954,0.6412081535623312,0.0,0.0,0.0,0.5628860573560853
63,0.05371788979996359,0.07140648908041361,0.6286752019055485,0.0,0.5,0.0,0.5390962345658833
64,0.10255410852049655,0.031445614597930424,0.615923151448349,0.0,0.5,3.75,0.4688127207885572
65,0.0,0.010398390015222119,0.669987393929062,0.0,0.0,0.0,0.6204981090893593
66,0.02019756941028922,0.028526679812482136,0.657987393929062,0.0,0.0,0.0,0.5904215119149544
67,0.03791191660928589,0.04823929410470476,0.645704627957318,0.0,0.0,0.0,0.5637790109405975
