t,N,P,within4_proxy,u,a,g,anchor,p_agree
0,95.0,0.0,0.0,0.0,0.0,6000.0,1.0,0.46752795031055894
1,95.875,0.0,0.67,0.0,0.0,4980.471707975443,1.0,0.46752795031055894
2,87.75,0.0,0.67,0.0,0.0,4030.378955756305,0.0,0.765527950310559
3,93.625,0.0,0.67,0.0,0.0,3449.34828418569,0.0,0.765527950310559
4,88.5,0.0,0.67,0.0,0.0,3003.5350989876733,0.0,0.765527950310559
5,96.375,0.0,0.67,0.0,0.0,2357.724560324755,0.0,0.765527950310559
6,94.25,0.0,0.67,0.0,0.0,1905.9616975735726,0.0,0.765527950310559
7,102.125,0.02124999999999999,0.6402500000000001,0.0,0.0,1687.5533983755868,1.0,0.46752795031055894
8,97.0,0.0,0.67,0.0,0.0,1468.4184594661112,0.0,0.765527950310559
9,87.875,0.0,0.67,0.0,0.0,1323.05465182246,0.0,0.765527950310559
10,80.75,0.0,0.67,0.0,0.0,1123.1393287006101,0.0,0.765527950310559
11,73.625,0.0,0.67,0.0,0.0,1136.4512604467711,1.0,0.46752795031055894
12,69.5,0.0,0.67,0.0,0.0,1136.9402019003116,1.0,0.46752795031055894
13,63.375,0.0,0.67,0.0,0.0,1066.155231276371,0.0,0.765527950310559
14,66.25,0.0,0.67,0.0,0.0,1115.6483057179003,0.0,0.765527950310559
15,66.125,0.0,0.67,0.0,0.0,1089.2695787995249,0.0,0.765527950310559
16,52.0,0.0,0.67,0.0,0.0,935.4864167512961,0.0,0.765527950310559
17,46.875,0.0,0.67,0.0,0.0,935.2642118092868,0.0,0.765527950310559
18,33.75,0.0,0.67,0.0,0.0,802.3231093645296,0.0,0.765527950310559
19,27.0,0.0,0.67,0.0,0.0,879.703517622351,1.0,0.46752795031055894
20,47.0,0.0,0.67,0.0,0.0,848.7702229992556,0.0,0.765527950310559
21,52.875,0.0,0.67,0.0,0.0,810.5299420448785,0.0,0.765527950310559
22,57.75,0.0,0.67,0.0,0.0,730.3309991955086,0.0,0.765527950310559
23,57.625,0.0,0.67,0.0,0.0,856.5189332238099,0.0,0.765527950310559
24,55.5,0.0,0.67,0.0,0.0,819.7621983721677,0.0,0.765527950310559
25,47.375,0.0,0.67,0.0,0.0,762.9769764814234,0.0,0.765527950310559
26,42.25,0.0,0.67,0.0,0.0,725.1682261363158,0.0,0.765527950310559
27,39.125,0.0,0.67,0.0,0.0,783.3654994643875,0.0,0.765527950310559
28,49.0,0.0,0.67,0.0,0.0,813.236806007918,0.0,0.765527950310559
29,49.875,0.0,0.67,0.0,0.0,841.8627059659333,0.0,0.765527950310559
30,55.75,0.0,0.67,0.0,0.0,866.5722650735349,0.0,0.765527950310559
31,51.625,0.0,0.67,0.0,0.0,1057.4225721458743,0.0,0.765527950310559
32,43.5,0.0,0.67,0.0,0.0,955.2965560782378,1.0,0.46752795031055894
33,47.375,0.0,0.67,0.0,0.0,863.0129719554366,0.0,0.765527950310559
34,53.25,0.0,0.67,0.0,0.0,759.0331047395616,0.0,0.765527950310559
35,48.125,0.0,0.67,0.0,0.0,818.8244260491989,1.0,0.46752795031055894
36,50.0,0.0,0.67,0.0,0.0,917.9567701114483,0.0,0.765527950310559
37,50.875,0.0,0.67,0.0,0.0,872.9706703236712,0.0,0.765527950310559
38,55.75,0.0,0.67,0.0,0.0,764.3608885626842,0.0,0.765527950310559
39,47.625,0.0,0.67,0.0,0.0,679.0405892810235,1.0,0.46752795031055894
40,50.5,0.0,0.67,0.0,0.0,758.2917502072888,0.0,0.765527950310559
41,53.375,0.0,0.67,0.0,0.0,830.9588172861753,0.0,0.765527950310559
42,58.25,0.0,0.67,0.0,0.0,869.0824806594599,0.0,0.765527950310559
43,55.125,0.0,0.67,0.0,0.0,778.7150137986986,1.0,0.46752795031055894
44,67.0,0.0,0.67,0.0,0.0,796.1881433456309,0.0,0.765527950310559
45,70.875,0.0,0.67,0.0,0.0,798.6190955905777,0.0,0.765527950310559
46,75.75,0.0,0.67,0.0,0.0,810.7641361453635,0.0,0.765527950310559
47,89.625,0.0,0.67,0.0,0.0,885.7541867111099,0.0,0.765527950310559
