year,game,eq_index,kind,row_action,col_action,row_payoff,col_payoff,n_equilibria_in_game
2025,DEF,1,pure,R,R,1.4830208874703312,1.6880208874703313,1
2025,BARG,1,pure,A,A,1.7539799474201916,1.7689799474201917,1
2025,SHIFT,1,pure,I,S,-0.24834786329249836,1.27835273448488,3
2025,SHIFT,2,pure,S,I,1.27835273448488,-0.24834786329249836,3
2025,SHIFT,3,mixed,S,S,-0.3064774220945628,-0.30647742209456286,3
2025,DISC,1,pure,C,C,0.6088360946436548,0.6088360946436548,1
2025,GOV,1,pure,I,I,1.4325719263882684,1.6375719263882682,1
2025,COMP,1,pure,L,L,1.1081963501482717,1.025,1
2026,DEF,1,pure,R,R,1.5650098732297077,1.7700098732297078,1
2026,BARG,1,pure,A,A,1.7991666666666666,1.8141666666666667,1
2026,SHIFT,1,pure,I,S,-0.36583333333333323,1.224175922819518,3
2026,SHIFT,2,pure,S,I,1.224175922819518,-0.36583333333333323,3
2026,SHIFT,3,mixed,S,S,-0.38181901677594643,-0.38181901677594654,3
2026,DISC,1,pure,C,C,0.5275,0.5275,1
2026,GOV,1,pure,I,I,1.4958333333333333,1.7008333333333332,1
2026,COMP,1,pure,L,L,1.1166753057426608,1.025,1
2027,DEF,1,pure,R,R,1.5748711896936278,1.779871189693628,1
2027,BARG,1,pure,A,A,1.7991666666666666,1.8141666666666667,1
2027,SHIFT,1,pure,I,S,-0.36583333333333323,1.2334209070044428,3
2027,SHIFT,2,pure,S,I,1.2334209070044428,-0.36583333333333323,3
2027,SHIFT,3,mixed,S,S,-0.36059877551643094,-0.3605987755164309,3
2027,DISC,1,pure,C,C,0.5275,0.5275,1
2027,GOV,1,pure,I,I,1.4958333333333333,1.7008333333333332,1
2027,COMP,1,pure,L,L,1.1253039576485913,1.025,1
2028,DEF,1,pure,R,R,1.5846416105373053,1.7896416105373054,1
2028,BARG,1,pure,A,A,1.7991666666666666,1.8141666666666667,1
2028,SHIFT,1,pure,I,S,-0.36583333333333323,1.2425806765453906,3
2028,SHIFT,2,pure,S,I,1.2425806765453906,-0.36583333333333323,3
2028,SHIFT,3,mixed,S,S,-0.34013384274914366,-0.3401338427491437,3
2028,DISC,1,pure,C,C,0.5275,0.5275,1
2028,GOV,1,pure,I,I,1.4958333333333333,1.7008333333333332,1
2028,COMP,1,pure,L,L,1.133853075886809,1.025,1
2029,DEF,1,pure,R,R,1.5943751418721654,1.7993751418721655,1
2029,BARG,1,pure,A,A,1.7991666666666666,1.8141666666666667,1
2029,SHIFT,1,pure,I,S,-0.36583333333333323,1.2517058621718222,3
2029,SHIFT,2,pure,S,I,1.2517058621718222,-0.36583333333333323,3
2029,SHIFT,3,mixed,S,S,-0.3202828413677129,-0.3202828413677129,3
2029,DISC,1,pure,C,C,0.5275,0.5275,1
2029,GOV,1,pure,I,I,1.4958333333333333,1.7008333333333332,1
2029,COMP,1,pure,L,L,1.1423699158048115,1.025,1
2030,DEF,1,pure,R,R,1.6041257221459795,1.8091257221459796,1
2030,BARG,1,pure,A,A,1.7991666666666666,1.8141666666666667,1
2030,SHIFT,1,pure,I,S,-0.36583333333333323,1.2608470311785225,3
2030,SHIFT,2,pure,S,I,1.2608470311785225,-0.36583333333333323,3
2030,SHIFT,3,mixed,S,S,-0.3009175822764369,-0.300917582276437,3
2030,DISC,1,pure,C,C,0.5275,0.5275,1
2030,GOV,1,pure,I,I,1.4958333333333333,1.7008333333333332,1
2030,COMP,1,pure,L,L,1.1509016735443987,1.025,1
