game,pressure,effgap,n_equilibria,has_mixed
DEF,0.8,0.0,1,false
BARG,0.8,0.0,1,false
SHIFT,0.8,0.0,1,false
DISC,0.8,0.0,1,false
GOV,0.8,0.0,1,false
COMP,0.8,0.0,1,false
DEF,0.8,0.2,1,false
BARG,0.8,0.2,1,false
SHIFT,0.8,0.2,3,true
DISC,0.8,0.2,1,false
GOV,0.8,0.2,1,false
COMP,0.8,0.2,1,false
DEF,0.8,0.4,1,false
BARG,0.8,0.4,1,false
SHIFT,0.8,0.4,3,true
DISC,0.8,0.4,1,false
GOV,0.8,0.4,1,false
COMP,0.8,0.4,1,false
DEF,0.8,0.6,1,false
BARG,0.8,0.6,1,false
SHIFT,0.8,0.6,3,true
DISC,0.8,0.6,1,false
GOV,0.8,0.6,1,false
COMP,0.8,0.6,1,false
DEF,1.0,0.0,1,false
BARG,1.0,0.0,1,false
SHIFT,1.0,0.0,4,true
DISC,1.0,0.0,1,false
GOV,1.0,0.0,1,false
COMP,1.0,0.0,1,false
DEF,1.0,0.2,1,false
BARG,1.0,0.2,1,false
SHIFT,1.0,0.2,3,true
DISC,1.0,0.2,1,false
GOV,1.0,0.2,1,false
COMP,1.0,0.2,1,false
DEF,1.0,0.4,1,false
BARG,1.0,0.4,1,false
SHIFT,1.0,0.4,3,true
DISC,1.0,0.4,1,false
GOV,1.0,0.4,1,false
COMP,1.0,0.4,1,false
DEF,1.0,0.6,1,false
BARG,1.0,0.6,1,false
SHIFT,1.0,0.6,3,true
DISC,1.0,0.6,1,false
GOV,1.0,0.6,1,false
COMP,1.0,0.6,1,false
DEF,1.2,0.0,1,false
BARG,1.2,0.0,1,false
SHIFT,1.2,0.0,3,true
DISC,1.2,0.0,1,false
GOV,1.2,0.0,1,false
COMP,1.2,0.0,1,false
DEF,1.2,0.2,1,false
BARG,1.2,0.2,1,false
SHIFT,1.2,0.2,3,true
DISC,1.2,0.2,1,false
GOV,1.2,0.2,1,false
COMP,1.2,0.2,1,false
DEF,1.2,0.4,1,false
BARG,1.2,0.4,1,false
SHIFT,1.2,0.4,3,true
DISC,1.2,0.4,1,false
GOV,1.2,0.4,1,false
COMP,1.2,0.4,1,false
DEF,1.2,0.6,1,false
BARG,1.2,0.6,1,false
SHIFT,1.2,0.6,3,true
DISC,1.2,0.6,1,false
GOV,1.2,0.6,1,false
COMP,1.2,0.6,1,false
DEF,1.4,0.0,1,false
BARG,1.4,0.0,1,false
SHIFT,1.4,0.0,3,true
DISC,1.4,0.0,1,false
GOV,1.4,0.0,1,false
COMP,1.4,0.0,1,false
DEF,1.4,0.2,1,false
BARG,1.4,0.2,1,false
SHIFT,1.4,0.2,3,true
DISC,1.4,0.2,1,false
GOV,1.4,0.2,1,false
COMP,1.4,0.2,1,false
DEF,1.4,0.4,1,false
BARG,1.4,0.4,1,false
SHIFT,1.4,0.4,3,true
DISC,1.4,0.4,1,false
GOV,1.4,0.4,1,false
COMP,1.4,0.4,1,false
DEF,1.4,0.6,1,false
BARG,1.4,0.6,1,false
SHIFT,1.4,0.6,3,true
DISC,1.4,0.6,1,false
GOV,1.4,0.6,1,false
COMP,1.4,0.6,1,false
