year,game,strategy,n,share
2025,AGED,C,1776,0.592
2025,AGED,F,1224,0.408
2025,BARG,A,1994,0.6646666666666666
2025,BARG,D,1006,0.3353333333333333
2025,CODING,H,2261,0.7536666666666667
2025,CODING,U,739,0.24633333333333332
2025,COMP,L,1246,0.41533333333333333
2025,COMP,T,1754,0.5846666666666667
2025,COMPETITION,A,896,0.2986666666666667
2025,COMPETITION,M,2104,0.7013333333333334
2025,DEF,E,2104,0.7013333333333334
2025,DEF,R,896,0.2986666666666667
2025,DISC,C,2070,0.69
2025,DISC,F,930,0.31
2025,GOV,I,1840,0.6133333333333333
2025,GOV,S,1160,0.38666666666666666
2025,NDIS,C,1797,0.599
2025,NDIS,F,1203,0.401
2025,SHIFT,I,2004,0.668
2025,SHIFT,S,996,0.332
2025,SIGNAL,L,3000,1.0
2025,SIGNAL_QUALITY,0.9,3000,1.0
2025,VENUE_SHIFT,A,2181,0.727
2025,VENUE_SHIFT,B,819,0.273
2026,AGED,C,1779,0.593
2026,AGED,F,1221,0.407
2026,BARG,A,2001,0.667
2026,BARG,D,999,0.333
2026,CODING,H,2447,0.8156666666666667
2026,CODING,U,553,0.18433333333333332
2026,COMP,L,1248,0.416
2026,COMP,T,1752,0.584
2026,COMPETITION,A,807,0.269
2026,COMPETITION,M,2193,0.731
2026,DEF,E,2276,0.7586666666666667
2026,DEF,R,724,0.24133333333333334
2026,DISC,C,2097,0.699
2026,DISC,F,903,0.301
2026,GOV,I,1937,0.6456666666666667
2026,GOV,S,1063,0.35433333333333333
2026,NDIS,C,1786,0.5953333333333334
2026,NDIS,F,1214,0.4046666666666667
2026,SHIFT,I,2113,0.7043333333333334
2026,SHIFT,S,887,0.2956666666666667
2026,SIGNAL,L,3000,1.0
2026,SIGNAL_QUALITY,0.9,3000,1.0
2026,VENUE_SHIFT,A,2330,0.7766666666666666
2026,VENUE_SHIFT,B,670,0.22333333333333333
2027,AGED,C,1807,0.6023333333333334
2027,AGED,F,1193,0.39766666666666667
2027,BARG,A,2074,0.6913333333333334
2027,BARG,D,926,0.30866666666666664
2027,CODING,H,2443,0.8143333333333334
2027,CODING,U,557,0.18566666666666667
2027,COMP,L,1291,0.43033333333333335
2027,COMP,T,1709,0.5696666666666667
2027,COMPETITION,A,786,0.262
2027,COMPETITION,M,2214,0.738
2027,DEF,E,2198,0.7326666666666667
2027,DEF,R,802,0.2673333333333333
2027,DISC,C,2128,0.7093333333333334
2027,DISC,F,872,0.2906666666666667
2027,GOV,I,1974,0.658
2027,GOV,S,1026,0.342
2027,NDIS,C,1776,0.592
2027,NDIS,F,1224,0.408
2027,SHIFT,I,2092,0.6973333333333334
2027,SHIFT,S,908,0.30266666666666664
2027,SIGNAL,L,3000,1.0
2027,SIGNAL_QUALITY,0.9,3000,1.0
2027,VENUE_SHIFT,A,2282,0.7606666666666667
2027,VENUE_SHIFT,B,718,0.23933333333333334
2028,AGED,C,1825,0.6083333333333333
2028,AGED,F,1175,0.39166666666666666
2028,BARG,A,2125,0.7083333333333334
2028,BARG,D,875,0.2916666666666667
2028,CODING,H,2393,0.7976666666666666
2028,CODING,U,607,0.20233333333333334
2028,COMP,L,1268,0.4226666666666667
2028,COMP,T,1732,0.5773333333333334
2028,COMPETITION,A,812,0.27066666666666667
2028,COMPETITION,M,2188,0.7293333333333333
2028,DEF,E,2192,0.7306666666666667
2028,DEF,R,808,0.2693333333333333
2028,DISC,C,2106,0.702
2028,DISC,F,894,0.298
2028,GOV,I,1927,0.6423333333333333
2028,GOV,S,1073,0.3576666666666667
2028,NDIS,C,1854,0.618
2028,NDIS,F,1146,0.382
2028,SHIFT,I,2114,0.7046666666666667
2028,SHIFT,S,886,0.29533333333333334
2028,SIGNAL,L,3000,1.0
2028,SIGNAL_QUALITY,0.9,3000,1.0
2028,VENUE_SHIFT,A,2279,0.7596666666666667
2028,VENUE_SHIFT,B,721,0.24033333333333334
2029,AGED,C,1799,0.5996666666666667
2029,AGED,F,1201,0.4003333333333333
2029,BARG,A,2123,0.7076666666666667
2029,BARG,D,877,0.29233333333333333
2029,CODING,H,2376,0.792
2029,CODING,U,624,0.208
2029,COMP,L,1293,0.431
2029,COMP,T,1707,0.569
2029,COMPETITION,A,770,0.25666666666666665
2029,COMPETITION,M,2230,0.7433333333333333
2029,DEF,E,2129,0.7096666666666667
2029,DEF,R,871,0.29033333333333333
2029,DISC,C,2150,0.7166666666666667
2029,DISC,F,850,0.2833333333333333
2029,GOV,I,2002,0.6673333333333333
2029,GOV,S,998,0.33266666666666667
2029,NDIS,C,1797,0.599
2029,NDIS,F,1203,0.401
2029,SHIFT,I,2100,0.7
2029,SHIFT,S,900,0.3
2029,SIGNAL,L,3000,1.0
2029,SIGNAL_QUALITY,0.9,3000,1.0
2029,VENUE_SHIFT,A,2325,0.775
2029,VENUE_SHIFT,B,675,0.225
2030,AGED,C,1754,0.5846666666666667
2030,AGED,F,1246,0.41533333333333333
2030,BARG,A,2095,0.6983333333333334
2030,BARG,D,905,0.3016666666666667
2030,CODING,H,2386,0.7953333333333333
2030,CODING,U,614,0.20466666666666666
2030,COMP,L,1295,0.43166666666666664
2030,COMP,T,1705,0.5683333333333334
2030,COMPETITION,A,785,0.26166666666666666
2030,COMPETITION,M,2215,0.7383333333333333
2030,DEF,E,2173,0.7243333333333334
2030,DEF,R,827,0.27566666666666667
2030,DISC,C,2026,0.6753333333333333
2030,DISC,F,974,0.32466666666666666
2030,GOV,I,1900,0.6333333333333333
2030,GOV,S,1100,0.36666666666666664
2030,NDIS,C,1778,0.5926666666666667
2030,NDIS,F,1222,0.4073333333333333
2030,SHIFT,I,2132,0.7106666666666667
2030,SHIFT,S,868,0.28933333333333333
2030,SIGNAL,L,3000,1.0
2030,SIGNAL_QUALITY,0.9,3000,1.0
2030,VENUE_SHIFT,A,2267,0.7556666666666667
2030,VENUE_SHIFT,B,733,0.24433333333333335
