year,game,eq_index,kind,row_action,col_action,row_payoff,col_payoff,n_equilibria_in_game
2025,DEF,1,pure,R,R,1.264645936314519,1.4696459363145191,1
2025,BARG,1,pure,A,A,1.6199999999999999,1.635,1
2025,SHIFT,1,pure,I,S,0.09999999999999998,1.4621680652948617,3
2025,SHIFT,2,pure,S,I,1.4621680652948617,0.09999999999999998,3
2025,SHIFT,3,mixed,S,S,-0.0729612535289198,-0.07296125352891979,3
2025,DISC,1,pure,C,C,0.8499999999999999,0.8499999999999999,1
2025,GOV,1,pure,I,I,1.245,1.45,1
2025,COMP,1,pure,L,L,1.104690194275204,1.025,1
2026,DEF,1,pure,R,R,1.3178144881130316,1.5228144881130317,1
2026,BARG,1,pure,A,A,1.65327510506858,1.6682751050685802,1
2026,SHIFT,1,pure,I,S,0.013484726821691773,1.415515777907085,3
2026,SHIFT,2,pure,S,I,1.415515777907085,0.013484726821691773,3
2026,SHIFT,3,mixed,S,S,-0.12556478747481087,-0.1255647874748108,3
2026,DISC,1,pure,C,C,0.7901048108765557,0.7901048108765557,1
2026,GOV,1,pure,I,I,1.2915851470960122,1.496585147096012,1
2026,COMP,1,pure,L,L,1.1046275300028907,1.025,1
2027,DEF,1,pure,R,R,1.299084697913881,1.504084697913881,1
2027,BARG,1,pure,A,A,1.6416110173204503,1.6566110173204505,1
2027,SHIFT,1,pure,I,S,0.043811354966828975,1.4317824540649573,3
2027,SHIFT,2,pure,S,I,1.4317824540649573,0.043811354966828975,3
2027,SHIFT,3,mixed,S,S,-0.10663024944423533,-0.10663024944423527,3
2027,DISC,1,pure,C,C,0.8111001688231891,0.8111001688231891,1
2027,GOV,1,pure,I,I,1.2752554242486307,1.4802554242486305,1
2027,COMP,1,pure,L,L,1.1045686864260156,1.025,1
2028,DEF,1,pure,R,R,1.27962393912567,1.4846239391256701,1
2028,BARG,1,pure,A,A,1.629487511529659,1.644487511529659,1
2028,SHIFT,1,pure,I,S,0.07533247002288679,1.4486961594943049,3
2028,SHIFT,2,pure,S,I,1.4486961594943049,0.07533247002288679,3
2028,SHIFT,3,mixed,S,S,-0.08782734222524785,-0.08782734222524784,3
2028,DISC,1,pure,C,C,0.8329224792466137,0.8329224792466137,1
2028,GOV,1,pure,I,I,1.2582825161415225,1.4632825161415224,1
2028,COMP,1,pure,L,L,1.104513430593439,1.025,1
2029,DEF,1,pure,R,R,1.2685782572683346,1.4735782572683347,1
2029,BARG,1,pure,A,A,1.6226210223946689,1.637621022394669,1
2029,SHIFT,1,pure,I,S,0.09318534177386073,1.4582536512445237,3
2029,SHIFT,2,pure,S,I,1.4582536512445237,0.09318534177386073,3
2029,SHIFT,3,mixed,S,S,-0.07769981833766337,-0.0776998183376634,3
2029,DISC,1,pure,C,C,0.8452821596895957,0.8452821596895957,1
2029,GOV,1,pure,I,I,1.2486694313525366,1.4536694313525365,1
2029,COMP,1,pure,L,L,1.1044615437572562,1.025,1
2030,DEF,1,pure,R,R,1.2594063893839422,1.4644063893839423,1
2030,BARG,1,pure,A,A,1.6169234072886682,1.6319234072886684,1
2030,SHIFT,1,pure,I,S,0.10799914104946273,1.4661781089103079,3
2030,SHIFT,2,pure,S,I,1.4661781089103079,0.10799914104946273,3
2030,SHIFT,3,mixed,S,S,-0.06958211752115234,-0.06958211752115231,3
2030,DISC,1,pure,C,C,0.8555378668803971,0.8555378668803971,1
2030,GOV,1,pure,I,I,1.2406927702041355,1.4456927702041353,1
2030,COMP,1,pure,L,L,1.104412820506814,1.025,1
