number,value,datetime_start,datetime_complete,duration,params_audit_pressure,params_capacity_lag,params_cost_shifting_intensity,params_discharge_delay_base,params_political_salience,state
0,0.0472459601782947,2025-12-26 18:02:30.881563,2025-12-26 18:02:32.479946,0 days 00:00:01.598383,0.6387926357773329,0.12020838819909643,0.33090508913552186,1.360571445127933,0.6721948505396943,COMPLETE
1,0.05835700017812485,2025-12-26 18:02:32.480118,2025-12-26 18:02:34.075586,0 days 00:00:01.595468,0.6410035105688879,0.3686326600082205,0.166995890252152,0.6464668897345596,0.7862497239086949,COMPLETE
2,0.06148934072318832,2025-12-26 18:02:34.075742,2025-12-26 18:02:35.673497,0 days 00:00:01.597755,0.29110519961044856,0.13182123524319528,0.06543837072185184,1.3759278817295955,0.7575762446803584,COMPLETE
3,0.08151199600101725,2025-12-26 18:02:35.673649,2025-12-26 18:02:37.248026,0 days 00:00:01.574377,0.4887505167779042,0.18105311308911887,0.18755338239007535,0.8433937943676302,0.4960429668874022,COMPLETE
4,0.08151199600101725,2025-12-26 18:02:37.248178,2025-12-26 18:02:38.847985,0 days 00:00:01.599807,0.4297256589643225,0.25523149289766617,0.5088896710417846,0.7115950885216334,0.2983229512549354,COMPLETE
5,0.08045744962879835,2025-12-26 18:02:38.848140,2025-12-26 18:02:40.447551,0 days 00:00:01.599411,0.6331731119758383,0.07090268572399898,0.6388819710447602,0.7597390257266877,0.4870992726515699,COMPLETE
6,0.08151199600101725,2025-12-26 18:02:40.447690,2025-12-26 18:02:42.044872,0 days 00:00:01.597182,0.953996983528,0.4845344148835517,0.5056586389260788,0.7364192989498332,0.10529385403748759,COMPLETE
7,0.08045744962879835,2025-12-26 18:02:42.045013,2025-12-26 18:02:43.641014,0 days 00:00:01.596001,0.7158097238609412,0.24806862218282058,0.6562980110873459,0.8436910153386965,0.1330212969054263,COMPLETE
8,0.08151199600101725,2025-12-26 18:02:43.641161,2025-12-26 18:02:45.212389,0 days 00:00:01.571228,0.9183883618709039,0.16645099172000763,0.1415286761335841,0.9961415280890161,0.07923024294793564,COMPLETE
9,0.08045744962879835,2025-12-26 18:02:45.212529,2025-12-26 18:02:46.808396,0 days 00:00:01.595867,0.5920392514089517,0.13318450498648718,0.5468917132654865,0.8493688608715287,0.4920578180011392,COMPLETE
10,0.05867036082331219,2025-12-26 18:02:46.808549,2025-12-26 18:02:48.412789,0 days 00:00:01.604240,0.11616568805333755,0.05691548179764694,0.3308574725522962,1.346289599956178,0.6417001328545728,COMPLETE
