number,value,datetime_start,datetime_complete,duration,params_audit_pressure,params_cost_shifting_intensity,params_discharge_delay_base,params_fragmentation_index,params_political_salience,state
0,0.0001744000088126252,2025-12-25 00:24:39.464919,2025-12-25 00:24:39.654772,0 days 00:00:00.189853,0.24041677639819287,0.33090508913552186,1.185595153449124,1.4556428757689246,0.5588597115674812,COMPLETE
1,0.0003195834058589837,2025-12-25 00:24:39.654960,2025-12-25 00:24:39.836555,0 days 00:00:00.181595,0.737265320016441,0.166995890252152,1.2929409166199481,0.6522752509513795,0.5609477599817275,COMPLETE
2,0.0007043070057601246,2025-12-25 00:24:39.836722,2025-12-25 00:24:40.013944,0 days 00:00:00.177222,0.26364247048639056,0.06543837072185184,1.2659541126403373,1.4729188669457949,0.23048824407653473,COMPLETE
3,0.0021688442052958104,2025-12-25 00:24:40.014100,2025-12-25 00:24:40.189670,0 days 00:00:00.175570,0.36210622617823773,0.18755338239007535,1.0198051453057901,0.8738180186635839,0.41715326584579837,COMPLETE
4,0.0036357594645275606,2025-12-25 00:24:40.189812,2025-12-25 00:24:40.365940,0 days 00:00:00.176128,0.5104629857953323,0.5088896710417846,0.8337157188281745,0.7255444745868377,0.3614075667996379,COMPLETE
5,0.002498340729346578,2025-12-25 00:24:40.366071,2025-12-25 00:24:40.539114,0 days 00:00:00.173043,0.14180537144799796,0.6388819710447602,1.0113875507308892,0.7797064039425238,0.5535523835327361,COMPLETE
6,0.0036373179807238543,2025-12-25 00:24:40.539263,2025-12-25 00:24:40.714618,0 days 00:00:00.175355,0.9690688297671034,0.5056586389260788,0.6520412743882236,0.7534717113185624,0.8565527066653332,COMPLETE
7,0.00334631416495859,2025-12-25 00:24:40.714766,2025-12-25 00:24:40.888699,0 days 00:00:00.173933,0.49613724436564116,0.6562980110873459,0.678137691205107,0.8741523922560336,0.6315980725353334,COMPLETE
8,0.004450076002917058,2025-12-25 00:24:40.888830,2025-12-25 00:24:41.058323,0 days 00:00:00.169493,0.33290198344001526,0.1415286761335841,0.6275108168921747,1.0456592191001433,0.8229223417669648,COMPLETE
9,0.0021841256727962773,2025-12-25 00:24:41.058454,2025-12-25 00:24:41.232541,0 days 00:00:00.174087,0.26636900997297436,0.5468917132654865,1.0160544169422485,0.8805399684804699,0.5147037374417877,COMPLETE
10,0.00021181482452420233,2025-12-25 00:24:41.232683,2025-12-25 00:24:41.415502,0 days 00:00:00.182819,0.11383096359529388,0.3308574725522962,1.1568942426866566,1.4395757999507002,0.06526759427259654,COMPLETE
11,0.00018769509588402298,2025-12-25 00:24:41.415640,2025-12-25 00:24:41.598182,0 days 00:00:00.182542,0.10336328003186515,0.33022415577986863,1.170035205521561,1.4850830026503252,0.12274730814679052,COMPLETE
12,0.0003260171207261944,2025-12-25 00:24:41.598326,2025-12-25 00:24:41.798434,0 days 00:00:00.200108,0.11479235645979348,0.33102339727910235,1.1435114532610788,1.2981465341598608,0.09408520787990313,COMPLETE
13,0.0023583593398416344,2025-12-25 00:24:41.798582,2025-12-25 00:24:41.984298,0 days 00:00:00.185716,0.681270796632917,0.3593390089929334,1.3973711952893406,1.2209013810147227,0.7191384382662429,COMPLETE
14,0.00026641704117335625,2025-12-25 00:24:41.984456,2025-12-25 00:24:42.165510,0 days 00:00:00.181054,0.4128700874469243,0.2423339449690649,1.155803152995925,1.311752218399151,0.28331222729010874,COMPLETE
