cost_shifting_intensity,pressure,efficiency_gap,row_strategy,col_strategy,effective_strategy,effective_int
0.0,0.8,0.2,I,I,I,0
0.0,0.8350000000000001,0.2,I,I,I,0
0.0,0.87,0.2,I,I,I,0
0.0,0.905,0.2,I,I,I,0
0.0,0.9400000000000001,0.2,I,I,I,0
0.0,0.9750000000000001,0.2,I,I,I,0
0.0,1.01,0.2,I,I,I,0
0.0,1.045,0.2,I,I,I,0
0.0,1.08,0.2,I,I,I,0
0.0,1.115,0.2,I,I,I,0
0.0,1.15,0.2,I,I,I,0
0.0,1.185,0.2,I,I,I,0
0.0,1.22,0.2,I,I,I,0
0.0,1.255,0.2,I,I,I,0
0.0,1.29,0.2,I,I,I,0
0.0,1.325,0.2,I,I,I,0
0.0,1.3599999999999999,0.2,I,I,I,0
0.0,1.395,0.2,I,S,S,1
0.0,1.43,0.2,I,S,S,1
0.0,1.4649999999999999,0.2,I,S,S,1
0.0,1.5,0.2,I,S,S,1
0.05,0.8,0.2,I,I,I,0
0.05,0.8350000000000001,0.2,I,I,I,0
0.05,0.87,0.2,I,I,I,0
0.05,0.905,0.2,I,I,I,0
0.05,0.9400000000000001,0.2,I,I,I,0
0.05,0.9750000000000001,0.2,I,I,I,0
0.05,1.01,0.2,I,I,I,0
0.05,1.045,0.2,I,I,I,0
0.05,1.08,0.2,I,I,I,0
0.05,1.115,0.2,I,I,I,0
0.05,1.15,0.2,I,I,I,0
0.05,1.185,0.2,I,I,I,0
0.05,1.22,0.2,I,S,S,1
0.05,1.255,0.2,I,S,S,1
0.05,1.29,0.2,I,S,S,1
0.05,1.325,0.2,I,S,S,1
0.05,1.3599999999999999,0.2,I,S,S,1
0.05,1.395,0.2,I,S,S,1
0.05,1.43,0.2,I,S,S,1
0.05,1.4649999999999999,0.2,I,S,S,1
0.05,1.5,0.2,I,S,S,1
0.1,0.8,0.2,I,I,I,0
0.1,0.8350000000000001,0.2,I,I,I,0
0.1,0.87,0.2,I,I,I,0
0.1,0.905,0.2,I,I,I,0
0.1,0.9400000000000001,0.2,I,I,I,0
0.1,0.9750000000000001,0.2,I,I,I,0
0.1,1.01,0.2,I,I,I,0
0.1,1.045,0.2,I,S,S,1
0.1,1.08,0.2,I,S,S,1
0.1,1.115,0.2,I,S,S,1
0.1,1.15,0.2,I,S,S,1
0.1,1.185,0.2,I,S,S,1
0.1,1.22,0.2,I,S,S,1
0.1,1.255,0.2,I,S,S,1
0.1,1.29,0.2,I,S,S,1
0.1,1.325,0.2,I,S,S,1
0.1,1.3599999999999999,0.2,I,S,S,1
0.1,1.395,0.2,I,S,S,1
0.1,1.43,0.2,I,S,S,1
0.1,1.4649999999999999,0.2,I,S,S,1
0.1,1.5,0.2,I,S,S,1
0.15000000000000002,0.8,0.2,I,I,I,0
0.15000000000000002,0.8350000000000001,0.2,I,I,I,0
0.15000000000000002,0.87,0.2,I,S,S,1
0.15000000000000002,0.905,0.2,I,S,S,1
0.15000000000000002,0.9400000000000001,0.2,I,S,S,1
0.15000000000000002,0.9750000000000001,0.2,I,S,S,1
0.15000000000000002,1.01,0.2,I,S,S,1
0.15000000000000002,1.045,0.2,I,S,S,1
0.15000000000000002,1.08,0.2,I,S,S,1
0.15000000000000002,1.115,0.2,I,S,S,1
0.15000000000000002,1.15,0.2,I,S,S,1
0.15000000000000002,1.185,0.2,I,S,S,1
0.15000000000000002,1.22,0.2,I,S,S,1
0.15000000000000002,1.255,0.2,I,S,S,1
0.15000000000000002,1.29,0.2,I,S,S,1
0.15000000000000002,1.325,0.2,I,S,S,1
0.15000000000000002,1.3599999999999999,0.2,I,S,S,1
0.15000000000000002,1.395,0.2,I,S,S,1
0.15000000000000002,1.43,0.2,I,S,S,1
0.15000000000000002,1.4649999999999999,0.2,I,S,S,1
0.15000000000000002,1.5,0.2,I,S,S,1
