DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1997-Q3,66.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1997-Q4,66.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1998-Q1,67.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1998-Q2,67.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1998-Q3,68.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1998-Q4,69.3,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1999-Q1,70,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1999-Q2,70.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1999-Q3,70.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,1999-Q4,71.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2000-Q1,71.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2000-Q2,71.8,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2000-Q3,72.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2000-Q4,73.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2001-Q1,73.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2001-Q2,74.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2001-Q3,74.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2001-Q4,75.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2002-Q1,76.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2002-Q2,76.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2002-Q3,77.2,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2002-Q4,77.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2003-Q1,79.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2003-Q2,79.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2003-Q3,81.1,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2003-Q4,81.9,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2004-Q1,82.4,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2004-Q2,82.7,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2004-Q3,83.6,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2004-Q4,84.5,IN,,,
ABS:WPI(1.2.0),1,THRPEB,7,Q,10,AUS,Q,2005-Q1,85.7,IN,,,
