Year,Metric,Value,Lower_CI,Upper_CI,Source
2012,Within 4 Hours,0.64,,,AIHW MyHospitals API
2013,Within 4 Hours,0.67,,,AIHW MyHospitals API
2014,Within 4 Hours,0.73,,,AIHW MyHospitals API
2015,Within 4 Hours,0.73,,,AIHW MyHospitals API
2016,Within 4 Hours,0.73,,,AIHW MyHospitals API
2017,Within 4 Hours,0.72,,,AIHW MyHospitals API
2018,Within 4 Hours,0.71,,,AIHW MyHospitals API
2019,Within 4 Hours,0.7,,,AIHW MyHospitals API
2020,Within 4 Hours,0.69,,,AIHW MyHospitals API
2021,Within 4 Hours,0.67,,,AIHW MyHospitals API
2022,Within 4 Hours,0.61,,,AIHW MyHospitals API
2023,Within 4 Hours,0.56,,,AIHW MyHospitals API
2024,Within 4 Hours,0.55,,,AIHW MyHospitals API
2025,Within 4 Hours,0.53,,,AIHW MyHospitals API
