filename,title,authors,year,type,status
1-s2.0-S240584402401853X-main.pdf,Unknown Title 1,Unknown,2024,Journal Article,Ingested
978-3-031-75154-7.pdf,Unknown Book 1,Unknown,Unknown,Book,Ingested
978-3-031-82094-6.pdf,Unknown Book 2,Unknown,Unknown,Book,Ingested
978-3-658-44608-6.pdf,Unknown Book 3,Unknown,Unknown,Book,Ingested
978-981-96-0590-3.pdf,Unknown Book 4,Unknown,Unknown,Book,Ingested
978-981-99-4833-8.pdf,Unknown Book 5,Unknown,Unknown,Book,Ingested
game-theory-and-public-policy-4dyveqk2yo.pdf,Game Theory and Public Policy,Unknown,Unknown,Book,Ingested
Hermans_Cunningham_Slinger_2014_Usefulness_game_theory_for_policy_evaluation_in_Evaluation_20_1.pdf,Usefulness of Game Theory for Policy Evaluation,Hermans et al.,2014,Journal Article,Ingested
hermans-et-al-2014-the-usefulness-of-game-theory-as-a-method-for-policy-evaluation.pdf,The Usefulness of Game Theory as a Method for Policy Evaluation,Hermans et al.,2014,Journal Article,Ingested
InTech-The_neumann_morgenstern_project_game_theory_as_a_formal_language_for_the_social_sciences.pdf,The Neumann-Morgenstern Project: Game Theory as a Formal Language,Unknown,Unknown,Book Chapter,Ingested
MPRA_paper_68372.pdf,MPRA Paper 68372,Unknown,Unknown,Working Paper,Ingested
ostrom_2005.pdf,Understanding Institutional Diversity,Elinor Ostrom,2005,Book,Ingested
PaperGameTheoryUAEPublished.pdf,Game Theory in UAE Policy,Unknown,Unknown,Journal Article,Ingested
provocation.pdf,Provocation,Unknown,Unknown,Unknown,Ingested
stratofc2010.pdf,Strategy of Conflict,Schelling,2010 (Reprint),Book,Ingested
the-strategy-of-conflict-3r8b6fbowe.pdf,The Strategy of Conflict,Schelling,1960,Book,Ingested
The-Strategy-of-Conflict-Prospectus-for-a-Reorientation-of-Game-Theory.pdf,Prospectus for a Reorientation of Game Theory,Schelling,Unknown,Article,Ingested
