parameter,default,unit,evidence_source,evidence_note,status
nep_to_cost_ratio_metro,0.9,,IHACPA/ABS,Autogenerated from v9.Params,active
nep_to_cost_ratio_regional,0.83,,IHACPA/ABS,Autogenerated from v9.Params,active
nep_to_cost_ratio_remote,0.75,,IHACPA/ABS,Autogenerated from v9.Params,active
rurality_weight,0.35,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
remote_weight,0.07,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
nominal_cth_share_target,0.45,,NHRA,Autogenerated from v9.Params,active
effective_cth_share_base,0.38,,NHRA,Autogenerated from v9.Params,active
cap_growth,0.065,,IHACPA/ABS,Autogenerated from v9.Params,active
has_cumulative_cap,False,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
use_equilibrium_bargaining,False,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
use_stage_game_equilibria,True,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
equilibrium_selection_rule,payoff_dominant,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
nep_per_nwau_start,1.0,,IHACPA/ABS,Autogenerated from v9.Params,active
nep_annual_growth,0.03,,IHACPA/ABS,Autogenerated from v9.Params,active
representative_nwau,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
input_cost_per_nwau_start,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
input_cost_annual_growth,0.04,,IHACPA/ABS,Autogenerated from v9.Params,active
demand_base,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
avoidable_ed_share,0.18,,NHRA,Autogenerated from v9.Params,active
discharge_delay_base,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
bed_capacity_index,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
cost_shifting_intensity,0.35,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
fragmentation_index,1.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
audit_pressure,0.5,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
admin_burden_weight,0.25,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
occupancy_base,0.88,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
offload_base_min,18.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
within4_base,0.53,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
rr_beta_pressure,0.35,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
rr_beta_offload,0.015,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
offload_threshold_min,20.0,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
tau,0.25,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
bargaining_cost,0.12,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
political_salience,0.3,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
noise_sd,0.03,,MODEL_DEFAULT / ASSUMPTION,Autogenerated from v9.Params,active
economic_spine,(DataFrame),,Generated from IHACPA/ABS Data,Autogenerated from v9.Params,active
