id,source_file,function_name,output_path,description,status
fig_trajectory,src/nhra_gt/visualization/trajectories.py,plot_trajectory,outputs/plots/trajectory_*.png,Time-series plot of simulation variables with optional quantile ribbons.,active
fig_strategy_heatmap,src/nhra_gt/visualization/distributional.py,plot_strategy_heatmap,outputs/plots/strategy_heatmap_*.png,Heatmap showing strategy frequency evolution over time for each game node.,active
fig_tornado_rankcorr,src/nhra_gt/visualization/sensitivity.py,plot_rank_tornado,outputs/plots/tornado_*.png,Tornado plot showing Spearman rank correlations between parameters and outcomes.,active
fig_games_network,scripts/interactive/make_d3_network.py,(script),outputs/interactive/games_network_d3.html,Interactive D3 network diagram of game nodes and influence edges.,active
fig_sobol_indices,src/nhra_gt/visualization/sensitivity.py,plot_sobol_indices,outputs/gsa/sobol_indices_*.png,Bar chart of First-order (S1) and Total-order (ST) sensitivity indices.,active
fig_sobol_heatmap,src/nhra_gt/visualization/sensitivity.py,plot_sobol_heatmap,outputs/gsa/sobol_heatmap.png,Heatmap of Second-order (S2) parameter interactions.,active
fig_morris_tornado,src/nhra_gt/visualization/sensitivity.py,plot_morris_tornado,outputs/gsa/morris_tornado.png,Tornado plot of Morris mu_star values.,active
fig_psa_distribution,scripts/analysis/run_psa.py,(script),outputs/psa/psa_distribution.png,Histogram/KDE of probabilistic sensitivity analysis outcomes.,active
fig_theil_decomposition,scripts/validation/plot_theil_decomposition.py,(script),outputs/validation/theil_decomposition.png,"Bar chart showing decomposition of Theil inequality index (Bias, Variance, Covariance).",active
fig_trajectory_animation,scripts/visualize/animate_trajectories.py,(script),outputs/animations/trajectory.gif,Animated GIF of Monte Carlo trajectory swarm evolution.,active
fig_dashboard_risk,scripts/dashboard.py,(embedded),(dashboard),Risk exposure over time (Plotly).,active
fig_dashboard_pressure,scripts/dashboard.py,(embedded),(dashboard),System pressure dynamics (Plotly).,active
fig_dashboard_share,scripts/dashboard.py,(embedded),(dashboard),Nominal vs Effective Commonwealth share (Plotly).,active
fig_distributions,src/nhra_gt/visualization/distributional.py,plot_distributions,outputs/plots/distributions.png,Distribution plots of key variables.,active
fig_pareto,src/nhra_gt/visualization/distributional.py,plot_pareto,outputs/plots/pareto.png,Pareto frontier plot for tradeoff analysis.,active
fig_signalling,(missing),(missing),(none),Visualisation of the Signalling/Transparency game dynamics.,missing
