parameter,level,multiplier,pressure_mean_2030,offload_mean_2030,occupancy_mean_2030,effgap_mean_2030
demand_base,low,0.9,0.9654767128688141,15.475401800528028,0.8419085031044523,0.1040453579100242
demand_base,high,1.1,0.9978263697205911,15.821001800528029,0.8563085031044525,0.1040453579100242
discharge_delay_base,low,0.9,0.9751669538411489,15.55619924052803,0.8466699231044523,0.1040453579100242
discharge_delay_base,high,1.1,0.9888463395128336,15.768916846304029,0.8524662106784523,0.1040453579100242
fragmentation_index,low,0.9,0.9710847530019194,14.32820180052803,0.8491085031044524,0.1040453579100242
fragmentation_index,high,1.1,0.9909480286495105,16.96820180052803,0.8491085031044524,0.1040453579100242
admin_burden_weight,low,0.8,0.9819354962528634,15.66020180052803,0.8496085031044526,0.1040453579100242
admin_burden_weight,high,1.2,0.9796857403547033,15.636201800528024,0.8486085031044523,0.1040453579100242
nominal_cth_share_target,low,0.95,0.9808065173765751,15.64820180052803,0.8491085031044524,0.1040453579100242
nominal_cth_share_target,high,1.05,0.9808065173765751,15.64820180052803,0.8491085031044524,0.1040453579100242
