year,game,strategy,n,share
2025,BARG,A,250,1.0
2025,COMP,L,250,1.0
2025,DEF,R,250,1.0
2025,DISC,C,250,1.0
2025,GOV,I,250,1.0
2025,SHIFT,I,250,1.0
2025,SIGNAL,H,138,0.552
2025,SIGNAL,L,112,0.448
2026,BARG,A,250,1.0
2026,COMP,L,250,1.0
2026,DEF,R,250,1.0
2026,DISC,C,250,1.0
2026,GOV,I,250,1.0
2026,SHIFT,I,250,1.0
2026,SIGNAL,H,134,0.536
2026,SIGNAL,L,116,0.464
2027,BARG,A,250,1.0
2027,COMP,L,250,1.0
2027,DEF,R,250,1.0
2027,DISC,C,250,1.0
2027,GOV,I,250,1.0
2027,SHIFT,I,250,1.0
2027,SIGNAL,H,149,0.596
2027,SIGNAL,L,101,0.404
2028,BARG,A,250,1.0
2028,COMP,L,250,1.0
2028,DEF,R,250,1.0
2028,DISC,C,250,1.0
2028,GOV,I,250,1.0
2028,SHIFT,I,250,1.0
2028,SIGNAL,H,143,0.572
2028,SIGNAL,L,107,0.428
2029,BARG,A,250,1.0
2029,COMP,L,250,1.0
2029,DEF,R,250,1.0
2029,DISC,C,250,1.0
2029,GOV,I,250,1.0
2029,SHIFT,I,250,1.0
2029,SIGNAL,H,152,0.608
2029,SIGNAL,L,98,0.392
