iter,year,pressure,occupancy,offload_min,within4,efficiency_gap,cth_share_nominal,cth_share_effective,discharge_delay,delta,strat_SIGNAL,strat_DEF,strat_BARG,strat_SHIFT,strat_DISC,strat_GOV,strat_COMP
0,2025,1.0,0.88,18.0,0.53,0.14955742039314868,0.4368318197493965,0.38,1.0,0.2448968670224092,L,R,A,I,C,I,L
1,2026,1.1142504818224588,0.8763536148000496,17.610828918400397,0.5124265497062455,0.14946790000412952,0.44012386481204735,0.3828935673718824,0.873,0.17646805424037892,L,R,A,I,C,I,L
2,2027,1.0545182415290624,0.870488800853067,17.174739325224934,0.5445219807194808,0.14938383775145056,0.4425928986090355,0.38506970784875816,0.7621290000000001,0.07331499633338656,L,R,A,I,C,I,L
3,2028,1.0223905863855025,0.8639304596632403,16.686183002530857,0.5624184332931346,0.14930490084776984,0.4444446739567766,0.38670736862684374,0.7275,0.026556992028838433,L,R,A,I,C,I,L
4,2029,1.002392825035111,0.8573712289847933,16.145152834409203,0.5736540519726612,0.1492307767960805,0.4458335054675825,0.38794079872322385,0.7275,0.02569955833559645,L,R,A,I,C,I,L
5,2030,0.9832533326336834,0.8508111630506245,15.551642138814199,0.5844145004012029,0.14916117215259134,0.4468751291006869,0.3888707171193464,0.7275,0.02463283263110927,L,R,A,I,C,I,L
6,2031,0.9651813502661938,0.8442503127870049,14.905644641110237,0.5945361727742601,0.14909581136503525,0.44765634682551514,0.38957269045627685,0.7275,0.023439780868959148,L,R,A,I,C,I,L
7,2032,0.948303156169053,0.8376887260151865,14.20715444923173,0.6039186392862445,0.1490344356818078,0.44824226011913637,0.3901034174429775,0.7275,0.02219277780131501,L,R,A,I,C,I,L
8,2033,0.9326726567422066,0.831126447640718,13.456166030357474,0.6125179897170416,0.14897680212761613,0.4486816950893523,0.39050544298066475,0.7275,0.020947988084177638,L,R,A,I,C,I,L
9,2034,0.9182875964675299,0.824563519831217,12.652674189007211,0.6203343624156012,0.14892268254158272,0.44901127131701424,0.3908106943486715,0.7275,0.01974385605889828,L,R,A,I,C,I,L
10,2035,0.9051072780565436,0.817999982183305,11.796674046473651,0.627397859312662,0.14887186267399885,0.44925845348776067,0.39104313377656563,0.7275,0.018602691778813907,L,R,A,I,C,I,L
11,2036,0.893068696581672,0.8114358718793627,10.888161021508553,0.6337558314155494,0.14882414133814734,0.4494438401158205,0.3912207481924166,0.7275,0.017534032809556455,L,R,A,I,C,I,L
12,2037,0.8820993118167494,0.8048712238347289,9.927130812186384,0.6394630417431991,0.14877932961384083,0.44958288008686537,0.3913570417723232,0.7275,0.01653859762582488,L,R,A,I,C,I,L
13,2038,0.8721258671897303,0.7983060708359231,8.913579378873768,0.6445750330265014,0.14873725009952135,0.449687160065149,0.3914621555331214,0.7275,0.015611991552663351,L,R,A,I,C,I,L
14,2039,0.8630795028025475,0.7917404436704425,7.847502928237308,0.6491443171575478,0.14869773620995844,0.44976537004886175,0.3915437071660197,0.7275,0.01474769586190916,L,R,A,I,C,I,L
15,2040,0.8548978793624372,0.7851743712486436,6.728897898226457,0.6532186999732843,0.14866063151676875,0.4498240275366463,0.39160742102100987,0.7275,0.012019322513638464,L,R,A,I,C,I,L
16,2041,0.8480529280974424,0.78,5.5688978982264565,0.6565833236229449,0.1486257891291443,0.4498680206524847,0.39165760068260524,0.7275,0.00220368645687663,L,R,A,I,C,I,L
17,2042,0.8458492416405657,0.78,5.0,0.6576577691649035,0.14859307111233816,0.44990101548936356,0.39169748347311856,0.7275,0.0,L,R,A,I,C,I,L
