a,b,r
BARG_A,COMP_L,1.0
COMP_L,GOV_I,1.0
COMP_L,DISC_C,1.0
COMP_L,DEF_R,1.0
DEF_R,DISC_C,1.0
DEF_R,GOV_I,1.0
DEF_R,SHIFT_I,1.0
BARG_A,SHIFT_I,1.0
DISC_C,GOV_I,1.0
DISC_C,SHIFT_I,1.0
BARG_A,GOV_I,1.0
BARG_A,DISC_C,1.0
BARG_A,DEF_R,1.0
COMP_L,SHIFT_I,1.0
occupancy_mean,occupancy_p10,1.0
occupancy_mean,occupancy_p90,1.0
GOV_I,SHIFT_I,1.0
occupancy_p10,occupancy_p90,1.0
cth_nominal_mean,cth_effective_mean,0.9999973680881552
pressure_p90,rr_p90,0.9999809350951685
pressure_mean,within4_p10,-0.9999737447682483
pressure_p10,within4_p90,-0.9999611794693113
pressure_mean,within4_mean,-0.999938678183685
pressure_p90,within4_p10,-0.9999108706915857
pressure_p10,within4_mean,-0.9999088227269595
within4_mean,within4_p10,0.9998446874085468
within4_p10,rr_p90,-0.9998099775438709
pressure_mean,pressure_p90,0.9998041275467968
within4_mean,within4_p90,0.9997822747870544
pressure_mean,pressure_p10,0.9997322955194284
pressure_mean,rr_p90,0.9996670975464056
pressure_p10,within4_p10,-0.9995909021676457
pressure_p90,within4_mean,-0.9995273679091639
pressure_mean,within4_p90,-0.9995083182999532
within4_mean,rr_p90,-0.9993228828247311
within4_p10,within4_p90,0.9993127036729391
offload_mean,offload_p10,0.999162042019315
pressure_p10,pressure_p90,0.9991300178023211
pressure_p10,rr_p90,0.9988537778092038
pressure_p90,within4_p90,-0.9987347747235652
within4_p90,rr_p90,-0.9984054368934001
occupancy_mean,effgap_mean,0.9983858342865045
occupancy_p10,effgap_mean,0.9983858342865045
occupancy_p90,effgap_mean,0.9983858342865045
occupancy_p10,offload_p10,0.9980209939681425
occupancy_mean,offload_p10,0.9980209939681425
occupancy_p90,offload_p10,0.9980209939681425
within4_p90,cth_nominal_mean,0.9971523162024051
within4_p90,cth_effective_mean,0.9970199089572567
occupancy_p90,offload_mean,0.9969201204587986
occupancy_p10,offload_mean,0.9969201204587986
occupancy_mean,offload_mean,0.9969201204587986
pressure_p10,cth_nominal_mean,-0.9964857064850268
pressure_p10,cth_effective_mean,-0.9963355391065449
within4_mean,cth_nominal_mean,0.9957706244624263
within4_mean,cth_effective_mean,0.995590977031137
rr_mean,rr_p10,0.995546237120343
rr_mean,rr_p90,0.9952803005076356
pressure_p90,rr_mean,0.9948252221206091
pressure_mean,cth_nominal_mean,-0.9947178663130698
pressure_mean,cth_effective_mean,-0.9945153389512105
GOV_I,SIGNAL_H,0.9944755003596785
SHIFT_I,SIGNAL_H,0.9944755003596785
COMP_L,SIGNAL_H,0.9944755003596785
DEF_R,SIGNAL_H,0.9944755003596785
BARG_A,SIGNAL_H,0.9944755003596785
DISC_C,SIGNAL_H,0.9944755003596785
within4_p10,cth_nominal_mean,0.9940000198511777
within4_p10,rr_mean,-0.9938222852220943
within4_p10,cth_effective_mean,0.9937855123081921
pressure_mean,rr_mean,0.9934581666283763
offload_p10,effgap_mean,0.9931973582465754
pressure_p90,cth_nominal_mean,-0.9924982513800497
within4_mean,rr_mean,-0.9924604515616324
pressure_p90,cth_effective_mean,-0.9922557177354059
cth_effective_mean,effgap_mean,-0.9919020703853527
rr_p90,cth_nominal_mean,-0.991760526027892
cth_nominal_mean,effgap_mean,-0.9916080725067885
rr_p90,cth_effective_mean,-0.991504469298262
offload_mean,effgap_mean,0.9909174035789965
pressure_p10,rr_mean,0.9907164817993921
within4_p90,rr_mean,-0.9897844196636688
BARG_A,SIGNAL_L,0.9896271542055154
COMP_L,SIGNAL_L,0.9896271542055154
SHIFT_I,SIGNAL_L,0.9896271542055154
GOV_I,SIGNAL_L,0.9896271542055154
DEF_R,SIGNAL_L,0.9896271542055154
DISC_C,SIGNAL_L,0.9896271542055154
occupancy_p90,cth_effective_mean,-0.9831313053225902
occupancy_mean,cth_effective_mean,-0.9831313053225902
occupancy_p10,cth_effective_mean,-0.9831313053225902
rr_p10,rr_p90,0.983037578295829
occupancy_mean,cth_nominal_mean,-0.9827093086215695
occupancy_p10,cth_nominal_mean,-0.9827093086215695
occupancy_p90,cth_nominal_mean,-0.9827093086215695
pressure_p90,rr_p10,0.9820790349717661
rr_p10,discharge_mean,0.9815804699794068
within4_p90,effgap_mean,-0.9814831037279825
rr_mean,cth_nominal_mean,-0.9807491236707218
rr_mean,cth_effective_mean,-0.9803008585038876
within4_p10,rr_p10,-0.9800601230888402
pressure_p10,effgap_mean,0.9798221977443813
pressure_mean,rr_p10,0.9791948708368435
within4_mean,effgap_mean,-0.9774509871335465
within4_mean,rr_p10,-0.9773760498572834
pressure_mean,effgap_mean,0.9751187465539314
pressure_p10,rr_p10,0.9744973388790125
within4_p10,effgap_mean,-0.9737327466332582
within4_p90,rr_p10,-0.9729389322815113
offload_p10,cth_effective_mean,-0.9706712709256266
pressure_p90,effgap_mean,0.9706653137226045
offload_p10,cth_nominal_mean,-0.9701198517870779
occupancy_p10,within4_p90,-0.9692146268249063
occupancy_mean,within4_p90,-0.9692146268249063
occupancy_p90,within4_p90,-0.9692146268249063
rr_p90,effgap_mean,0.9691720450253063
SIGNAL_H,SIGNAL_L,0.9690801573790405
pressure_p10,occupancy_mean,0.9671030078128585
pressure_p10,occupancy_p90,0.9671030078128585
pressure_p10,occupancy_p10,0.9671030078128585
offload_mean,cth_effective_mean,-0.9659013102535694
offload_mean,cth_nominal_mean,-0.9653055108461388
rr_mean,discharge_mean,0.9650547597242849
occupancy_p10,within4_mean,-0.9640348543450997
occupancy_mean,within4_mean,-0.9640348543450997
occupancy_p90,within4_mean,-0.9640348543450997
offload_mean,offload_p90,0.9618814924593915
pressure_mean,occupancy_p90,0.9611275426538322
pressure_mean,occupancy_mean,0.9611275426538322
pressure_mean,occupancy_p10,0.9611275426538322
occupancy_p90,within4_p10,-0.9594429982445528
occupancy_mean,within4_p10,-0.9594429982445528
occupancy_p10,within4_p10,-0.9594429982445528
rr_p10,cth_nominal_mean,-0.9591782264861759
rr_p10,cth_effective_mean,-0.9585282817675909
offload_p10,offload_p90,0.9574692052409125
pressure_p90,occupancy_mean,0.9556762465091934
pressure_p90,occupancy_p10,0.9556762465091934
pressure_p90,occupancy_p90,0.9556762465091934
offload_p10,within4_p90,-0.9545110330481705
occupancy_p90,rr_p90,0.9538504913648366
occupancy_p10,rr_p90,0.9538504913648366
occupancy_mean,rr_p90,0.9538504913648366
pressure_p10,offload_p10,0.9520260806059246
offload_p10,within4_mean,-0.9481435231856519
rr_mean,effgap_mean,0.9474095778601671
offload_mean,within4_p90,-0.9471786675868981
rr_p90,discharge_mean,0.9459151202074444
pressure_mean,offload_p10,0.9447481597777309
pressure_p10,offload_mean,0.9444755670033026
pressure_p90,discharge_mean,0.9439129574984688
offload_p10,within4_p10,-0.9429006043771395
offload_mean,within4_mean,-0.9404876171035856
within4_p10,discharge_mean,-0.9395351939615744
occupancy_mean,offload_p90,0.9388464946002802
occupancy_p90,offload_p90,0.9388464946002802
occupancy_p10,offload_p90,0.9388464946002802
